tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
0,1.28e-07,0.000128,1.02005,10,1,0,"0,-0,0,-0.00572345,0.00175395,-0.999982,0,0,0,0.0126523,0.0134326,0.0034591,0.00766551,-0.00283325,0.0167314,0.0128068,-0.00752461,-0.034926,-0.0485028,0.0425199,0.0356165,-0.00604248,-0.0570679,0.0328979,-0.0825806,0.109436,0.155094,0.0288696,0.0651245,0.0285954,0.0285954,0.0994819,0.0213458,0,0,0,0,0,0,0,0,0,0,0,0","-0.115507,-0.0154901,-0.0342072,-0.0983441,-0.250278,-0.0531075,-0.11084,0.223293,0.741642,0.120621,-0.399274,-0.534775","0.341123,-0.373873,-0.378552,0.345414,0.0674305,0.116723,-0.15771,-0.0741768,2.0761,1.81729,-1.93342,-1.98989","0.341123,-0.373873,-0.378552,0.345414,0.0674305,0.116723,-0.15771,-0.0741768,2.0761,1.81729,-1.93342,-1.98989","","","",0.367301,0,1,1,"0.382652,-0.356567,-0.366541,0.377666,0.127167,0.146731,-0.117193,-0.137525,1.7088,1.68617,-1.69614,-1.70765","-0.00604248,-0.0570679,0.0328979,-0.0825806,0.109436,-0.0731812,0.0288696,0.0651245,-0.0234985,0.0476685,0.165836,0.0355835","-0.542412,-0.630091,-0.120623,-0.336966,0.0946827,-0.719845,-0.551231,0.311543,2.38158,3.27497,-2.89728,-2.49157"
1,0.0200855,20.0854,0.800111,10,1,0,"0,-0,0,-0.00578228,0.0017698,-0.999982,0,0,0,0.0126523,0.013816,0.0034591,0.00766551,-0.00283325,0.0167314,0.0124224,-0.00752461,-0.034926,-0.0485028,0.0425199,0.0356165,0.100037,-0.105408,0.0127563,-0.0288696,0.0114136,0.0570679,-0.0275269,0.0302124,-0.0487329,-0.0543714,-0.00604127,0.0197348,-0.115507,-0.0154901,-0.0342072,-0.0983441,-0.250278,-0.0531075,-0.11084,0.223293,0.741642,0.120621,-0.399274,-0.534775","-0.102383,-0.0319171,-0.0342653,-0.095635,-0.293009,-0.0802075,-0.0683509,0.187121,0.714458,0.12354,-0.389225,-0.497391","0.344404,-0.377979,-0.378566,0.346091,0.0567478,0.109948,-0.147088,-0.0832198,2.06477,1.81851,-1.92923,-1.97431","0.344404,-0.377979,-0.378566,0.346091,0.0567478,0.109948,-0.147088,-0.0832198,2.06477,1.81851,-1.92923,-1.97431","","","",0.355972,0,1,1,"0.382652,-0.356184,-0.366541,0.377666,0.127167,0.146731,-0.117578,-0.137525,1.7088,1.68617,-1.69614,-1.70765","0.100037,-0.105408,0.0127563,-0.0288696,0.0114136,0.0181274,-0.0275269,0.0302124,-0.0812378,-0.0906372,-0.0100708,0.0691528","-0.525291,-0.617121,-0.192219,-0.359274,0.101946,-0.70013,-0.592737,0.304279,2.38158,3.28534,-2.91077,-2.4703"
2,0.0401652,20.0797,0.804623,10,1,0,"0,-0,0,-0.00579757,0.00171132,-0.999982,0,0,0,0.0126523,0.013816,0.0034591,0.00766551,-0.00283325,0.0167314,0.0128068,-0.00752461,-0.034926,-0.0482728,0.0425199,0.0356165,-0.0181274,0.0731812,-0.00738525,0.187321,-0.0275269,0.0718384,0.0100708,-0.079895,0.00120825,0.058399,0.0438999,-0.0269843,-0.102383,-0.0319171,-0.0342653,-0.095635,-0.293009,-0.0802075,-0.0683509,0.187121,0.714458,0.12354,-0.389225,-0.497391","-0.0813341,-0.0521238,-0.0369099,-0.0990872,-0.279883,-0.0709817,-0.0645295,0.162607,0.704512,0.105909,-0.380579,-0.491884","0.349666,-0.383031,-0.379227,0.345228,0.0600293,0.112255,-0.146132,-0.0893484,2.06063,1.81116,-1.92563,-1.97201","0.349666,-0.383031,-0.379227,0.345228,0.0600293,0.112255,-0.146132,-0.0893484,2.06063,1.81116,-1.92563,-1.97201","","","",0.351827,0,1,1,"0.382652,-0.356184,-0.366541,0.377666,0.127167,0.146731,-0.117193,-0.137525,1.7088,1.68655,-1.69614,-1.70765","-0.0181274,0.0731812,-0.00738525,0.187321,-0.0275269,-0.185978,0.0100708,-0.079895,0.00201416,0.0973511,0.0731812,-0.0449829","-0.503502,-0.600519,-0.158495,-0.323477,0.0967579,-0.74371,-0.550194,0.32659,2.39403,3.28275,-2.90817,-2.45006"
3,0.0602561,20.0909,0.805231,10,1,0,"0,-0,0,-0.00579736,0.00171223,-0.999982,0,0,0,0.0126523,0.013816,0.0034591,0.00766551,-0.00283325,0.0167314,0.0128068,-0.00752461,-0.034926,-0.0485028,0.0425199,0.0356165,0.0302124,-0.0154419,0.0181274,-0.145695,0.11615,-0.102722,-0.0839233,0.0986938,-0.0269843,-0.00845778,0.0656485,-0.0406779,-0.0813341,-0.0521238,-0.0369099,-0.0990872,-0.279883,-0.0709817,-0.0645295,0.162607,0.704512,0.105909,-0.380579,-0.491884","-0.0902397,-0.0624245,-0.0266388,-0.0767807,-0.350747,-0.0606164,-0.0373441,0.185328,0.701134,0.0864558,-0.390414,-0.490673","0.34744,-0.385606,-0.37666,0.350805,0.0423133,0.114846,-0.139336,-0.0836679,2.05922,1.80305,-1.92972,-1.97151","0.34744,-0.385606,-0.37666,0.350805,0.0423133,0.114846,-0.139336,-0.0836679,2.05922,1.80305,-1.92972,-1.97151","","","",0.350419,0,1,1,"0.382652,-0.356184,-0.366541,0.377666,0.127167,0.146731,-0.117193,-0.137525,1.7088,1.68617,-1.69614,-1.70765","0.0302124,-0.0154419,0.0181274,-0.145695,0.11615,0.0772095,-0.0839233,0.0986938,-0.00872803,-0.0140991,0.109436,-0.0678101","-0.531517,-0.610895,-0.161089,-0.335928,0.133074,-0.716732,-0.549675,0.311024,2.38366,3.27912,-2.93256,-2.45318"
4,0.0803242,20.0681,0.774031,10,1,0,"0,-0,0,-0.0058717,0.00166945,-0.999981,0,0,0,0.0126523,0.013816,0.00307477,0.00766551,-0.00283325,0.0167314,0.0128068,-0.00752461,-0.034926,-0.0482728,0.0422899,0.0356165,-0.0879517,0.0866089,-0.0678101,-0.0879517,0.0315552,0.0302124,-0.062439,0.0288696,0.00120825,0.0430944,-0.0737035,-0.0318174,-0.0902397,-0.0624245,-0.0266388,-0.0767807,-0.350747,-0.0606164,-0.0373441,0.185328,0.701134,0.0864558,-0.390414,-0.490673","-0.0910937,-0.0691742,-0.00537011,-0.0629393,-0.37475,-0.0762362,-0.00709353,0.196552,0.694721,0.0975106,-0.428393,-0.502797","0.347227,-0.387294,-0.371343,0.354265,0.0363125,0.110941,-0.131773,-0.0808621,2.05655,1.80766,-1.94555,-1.97656","0.347227,-0.387294,-0.371343,0.354265,0.0363125,0.110941,-0.131773,-0.0808621,2.05655,1.80766,-1.94555,-1.97656","","","",0.347747,0,1,1,"0.382652,-0.356184,-0.366925,0.377666,0.127167,0.146731,-0.117193,-0.137525,1.7088,1.68655,-1.69652,-1.70765","-0.0879517,0.0866089,-0.0678101,-0.0879517,0.0315552,0.0476685,-0.062439,0.0288696,0.00201416,0.0718384,-0.122864,-0.0530396","-0.567835,-0.66485,-0.166796,-0.334372,0.111284,-0.736446,-0.533592,0.309986,2.38573,3.27652,-2.90973,-2.45888"
5,0.100411,20.087,0.942289,10,1,0,"0,-0,0,-0.00587149,0.00167019,-0.999981,0,0,0,0.0126523,0.013816,0.00307477,0.00766551,-0.00283325,0.0167314,0.0128068,-0.00752461,-0.034926,-0.0485028,0.0425199,0.0356165,0.0490112,0.00738525,-0.117493,0.0731812,-0.0154419,-0.0463257,0.0476685,-0.0409546,-0.0471219,0.0640375,0.0761223,-0.0608155,-0.0910937,-0.0691742,-0.00537011,-0.0629393,-0.37475,-0.0762362,-0.00709353,0.196552,0.694721,0.0975106,-0.428393,-0.502797","-0.107749,-0.0421706,0.0196502,-0.0500246,-0.365579,-0.0914399,0.012524,0.211143,0.689275,0.14148,-0.512838,-0.515962","0.343063,-0.380543,-0.365087,0.357494,0.0386051,0.10714,-0.126869,-0.0772142,2.05428,1.82598,-1.98075,-1.98205","0.343063,-0.380543,-0.365087,0.357494,0.0386051,0.10714,-0.126869,-0.0772142,2.05428,1.82598,-1.98075,-1.98205","","","",0.345477,0,1,1,"0.382652,-0.356184,-0.366925,0.377666,0.127167,0.147115,-0.117193,-0.137525,1.7088,1.68617,-1.69614,-1.70765","0.0490112,0.00738525,-0.117493,0.0731812,-0.0154419,0.184635,0.0476685,-0.0409546,-0.0785522,0.10675,0.126896,-0.0328979","-0.546043,-0.583918,-0.194813,-0.331259,0.0749683,-0.725552,-0.558495,0.302204,2.37069,3.28431,-2.9227,-2.50973"
6,0.120475,20.0638,0.812847,10,1,0,"0,-0,0,-0.005915,0.00174455,-0.999981,0,0,0,0.0126523,0.013816,0.00307477,0.00804889,-0.00283325,0.0167314,0.0128068,-0.00752461,-0.034926,-0.0482728,0.0425199,0.0356165,-0.169865,-0.020813,-0.000671387,0.062439,-0.0651245,-0.0933228,0.0758667,-0.169865,-0.00684677,0.0173183,0.115592,0.00926328,-0.107749,-0.0421706,0.0196502,-0.0500246,-0.365579,-0.0914399,0.012524,0.211143,0.689275,0.14148,-0.512838,-0.515962","-0.10287,-0.035753,0.0308563,-0.0235777,-0.379687,-0.102064,0.0262966,0.212545,0.711078,0.195055,-0.577555,-0.562397","0.344282,-0.378938,-0.362286,0.364106,0.0350781,0.104484,-0.123426,-0.0768637,2.06336,1.84831,-2.00772,-2.0014","0.344282,-0.378938,-0.362286,0.364106,0.0350781,0.104484,-0.123426,-0.0768637,2.06336,1.84831,-2.00772,-2.0014","","","",0.354563,0,1,1,"0.382652,-0.356184,-0.366925,0.378049,0.127167,0.146731,-0.117193,-0.137525,1.7088,1.68655,-1.69614,-1.70765","-0.169865,-0.020813,-0.000671387,0.062439,-0.0651245,-0.100037,0.0758667,-0.169865,-0.0114136,0.0288696,0.192692,0.0154419","-0.540855,-0.598444,-0.194294,-0.339041,0.0718555,-0.704281,-0.53878,0.284046,2.37691,3.26615,-2.91803,-2.45888"
7,0.140545,20.0704,0.815759,10,1,0,"0,-0,0,-0.00585617,0.00172867,-0.999981,0,0,0,0.0126523,0.013816,0.0034591,0.00766551,-0.00283325,0.0167314,0.0128068,-0.00752461,-0.034926,-0.0485028,0.0422899,0.0356165,-0.0463257,-0.0516968,-0.0516968,0.0530396,0.0422974,-0.09198,-0.0678101,0.0154419,-0.0761223,-0.0406779,-0.100287,0.0882049,-0.10287,-0.035753,0.0308563,-0.0235777,-0.379687,-0.102064,0.0262966,0.212545,0.711078,0.195055,-0.577555,-0.562397","-0.107483,-0.00941368,0.0708005,0.00633413,-0.415402,-0.132804,0.0734125,0.2164,0.714016,0.249861,-0.667215,-0.581699","0.343129,-0.372353,-0.3523,0.371584,0.0261496,0.096799,-0.111647,-0.0759,2.06459,1.87115,-2.04508,-2.00944","0.343129,-0.372353,-0.3523,0.371584,0.0261496,0.096799,-0.111647,-0.0759,2.06459,1.87115,-2.04508,-2.00944","","","",0.355405,0,1,1,"0.382652,-0.356184,-0.366541,0.377666,0.127167,0.146731,-0.117193,-0.137525,1.70918,1.68617,-1.69652,-1.70765","-0.0463257,-0.0516968,-0.0516968,0.0530396,0.0422974,0.0369263,-0.0678101,0.0154419,0.0825806,-0.0678101,-0.167179,0.147038","-0.536186,-0.607782,-0.152269,-0.331778,0.0926075,-0.746304,-0.56057,0.315176,2.38729,3.27082,-2.90973,-2.42672"
8,0.16061,20.0643,0.813135,10,1,0,"0,-0,0,-0.00584067,0.00178751,-0.999981,0,0,0,0.0126523,0.013816,0.0034591,0.00766551,-0.00283325,0.0167314,0.0128068,-0.00752461,-0.034926,-0.0482728,0.0425199,0.0356165,-0.0140991,-0.0409546,-0.0140991,0.0691528,0.0396118,-0.0745239,0.0100708,0.0516968,-0.0294009,0.0962599,0.136535,0.119619,-0.107483,-0.00941368,0.0708005,0.00633413,-0.415402,-0.132804,0.0734125,0.2164,0.714016,0.249861,-0.667215,-0.581699","-0.113462,0.0217861,0.0961293,0.026172,-0.406488,-0.156921,0.0789331,0.205537,0.75442,0.309947,-0.788054,-0.621637","0.341635,-0.364553,-0.345968,0.376543,0.0283779,0.0907697,-0.110267,-0.0786156,2.08142,1.89619,-2.09544,-2.02609","0.341635,-0.364553,-0.345968,0.376543,0.0283779,0.0907697,-0.110267,-0.0786156,2.08142,1.89619,-2.09544,-2.02609","","","",0.399302,0,1,1,"0.382652,-0.356184,-0.366541,0.377666,0.127167,0.146731,-0.117193,-0.137525,1.7088,1.68655,-1.69614,-1.70765","-0.0140991,-0.0409546,-0.0140991,0.0691528,0.0396118,0.0879517,0.0100708,0.0516968,-0.0704956,0.160465,0.227604,0.199406","-0.560051,-0.610895,-0.167315,-0.33956,0.132555,-0.710506,-0.580805,0.297535,2.34215,3.28534,-2.93307,-2.46563"
9,0.180674,20.0647,0.804911,10,1,0,"0,-0,0,-0.00576613,0.00183102,-0.999982,0,0,0,0.0126523,0.013816,0.0034591,0.00766551,-0.00283325,0.0167314,0.0128068,-0.00752461,-0.034926,-0.0482728,0.0422899,0.0356165,-0.0516968,-0.0852661,-0.020813,-0.120178,0.0140991,0.0181274,-0.0825806,0.0315552,-0.0294009,0.0205403,-0.0285954,0.072898,-0.113462,0.0217861,0.0961293,0.026172,-0.406488,-0.156921,0.0789331,0.205537,0.75442,0.309947,-0.788054,-0.621637","-0.114881,0.0347549,0.124058,0.0577782,-0.414342,-0.164562,0.112303,0.21652,0.775801,0.352699,-0.84592,-0.635362","0.34128,-0.361311,-0.338985,0.384445,0.0264145,0.0888594,-0.101924,-0.0758699,2.09034,1.91401,-2.11956,-2.03181","0.34128,-0.361311,-0.338985,0.384445,0.0264145,0.0888594,-0.101924,-0.0758699,2.09034,1.91401,-2.11956,-2.03181","","","",0.423034,0,1,1,"0.382652,-0.356184,-0.366541,0.377666,0.127167,0.146731,-0.117193,-0.137525,1.70918,1.68655,-1.69652,-1.70765","-0.0516968,-0.0852661,-0.020813,-0.120178,0.0140991,-0.00872803,-0.0825806,0.0315552,0.0154419,0.0342407,-0.0476685,0.121521","-0.540337,-0.614527,-0.113878,-0.325552,0.0853443,-0.725552,-0.540337,0.293385,2.39092,3.28016,-2.92529,-2.49313"
