tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
0,3.2e-07,0.00032,1.01393,10,1,0,"0,-0,0,0.00082922,-0.00339235,-0.999994,0,0,0,0.0897588,-0.0843877,-0.0863065,0.0870732,0.0493385,0.0696698,-0.0531751,-0.0650665,-0.00132825,-0.0052402,0.00109827,0.000177777,-0.0772095,-0.0342407,-0.00201416,0.152409,-0.0181274,0.0812378,0.00335693,0.0530396,0.0124853,-0.00281926,0.061621,-0.0865939,0,0,0,0,0,0,0,0,0,0,0,0","-0.211107,0.039005,-0.0108996,-0.134268,-0.18528,0.00182354,-0.156963,0.259206,0.751807,0.203287,-0.577015,-0.598063","0.317223,-0.360249,-0.372725,0.336433,0.0836801,0.130456,-0.169241,-0.0651985,2.08034,1.85174,-2.00749,-2.01626","0.317223,-0.360249,-0.372725,0.336433,0.0836801,0.130456,-0.169241,-0.0651985,2.08034,1.85174,-2.00749,-2.01626","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.456306,0.457073,0.179338,0.19967,-0.183175,-0.195066,1.76481,1.75828,-1.76557,-1.76672","-0.0772095,-0.0342407,-0.00201416,0.152409,-0.0181274,0.0812378,0.00335693,0.0530396,0.020813,-0.00469971,-0.0691528,-0.144352","-0.950714,0.874968,0.895201,-0.915953,-0.532555,-0.720882,0.544487,0.646173,0.0256805,0.0832691,-0.0402069,-0.0127106"
1,0.0200661,20.0658,0.755295,10,1,0,"0,-0,0,0.000829114,-0.00339234,-0.999994,0,0,0,0.0897588,-0.0843877,-0.0863065,0.0866898,0.0493385,0.0696698,-0.0535585,-0.0650665,-0.00132825,-0.0052402,0.00109827,0.000407757,-0.0100708,0.0396118,-0.000671387,0.0194702,-0.0100708,0.0275269,-0.134953,0.0248413,-0.00604127,0.068065,0.00684677,0.0350394,-0.211107,0.039005,-0.0108996,-0.134268,-0.18528,0.00182354,-0.156963,0.259206,0.751807,0.203287,-0.577015,-0.598063","-0.181795,-0.00466332,-0.022094,-0.126028,-0.267845,-0.0391078,-0.138836,0.245116,0.741675,0.166598,-0.507252,-0.548844","0.324551,-0.371166,-0.375524,0.338493,0.0630387,0.120223,-0.164709,-0.0687209,2.07611,1.83645,-1.97842,-1.99575","0.324551,-0.371166,-0.375524,0.338493,0.0630387,0.120223,-0.164709,-0.0687209,2.07611,1.83645,-1.97842,-1.99575","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.456306,0.45669,0.179338,0.19967,-0.183558,-0.195066,1.76481,1.75828,-1.76557,-1.76634","-0.0100708,0.0396118,-0.000671387,0.0194702,-0.0100708,0.0275269,-0.134953,0.0248413,-0.0100708,0.113464,-0.117493,0.0584106","-0.962128,0.885862,0.897795,-0.906096,-0.530998,-0.717251,0.539818,0.682489,0.0277557,0.148119,-0.0355377,-0.014267"
2,0.0401457,20.0796,0.864452,10,1,0,"0,-0,0,0.000906307,-0.00343051,-0.999994,0,0,0,0.0897588,-0.084772,-0.0863065,0.0866898,0.0493385,0.0692865,-0.0531751,-0.0650665,-0.00132825,-0.0052402,0.00109827,0.000407757,-0.0463257,-0.0516968,0.0369263,-0.0597534,-0.104065,-0.0879517,0.0288696,0.0597534,-0.0946489,-0.0165128,-0.0390669,0.104315,-0.181795,-0.00466332,-0.022094,-0.126028,-0.267845,-0.0391078,-0.138836,0.245116,0.741675,0.166598,-0.507252,-0.548844","-0.170379,-0.0217996,-0.0204009,-0.118413,-0.269552,-0.0224627,-0.15238,0.228723,0.718757,0.132112,-0.468944,-0.548457","0.327405,-0.37545,-0.3751,0.340397,0.062612,0.124384,-0.168095,-0.0728194,2.06656,1.82208,-1.96245,-1.99559","0.327405,-0.37545,-0.3751,0.340397,0.062612,0.124384,-0.168095,-0.0728194,2.06656,1.82208,-1.96245,-1.99559","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454772,-0.456306,0.45669,0.179338,0.199286,-0.183175,-0.195066,1.76481,1.75828,-1.76519,-1.76634","-0.0463257,-0.0516968,0.0369263,-0.0597534,-0.104065,-0.0879517,0.0288696,0.0597534,-0.15778,-0.0275269,-0.0154419,0.173893","-0.942932,0.832426,0.915434,-0.89987,-0.52166,-0.751492,0.561607,0.676264,0.0132294,0.0822315,-0.016861,-0.00959778"
3,0.0602186,20.0729,0.813026,10,1,0,"0,-0,0,0.000848504,-0.00345023,-0.999994,0,0,0,0.0897588,-0.0843877,-0.0863065,0.0866898,0.0497218,0.0696698,-0.0535585,-0.0650665,-0.00132825,-0.0052402,0.00109827,0.000407757,-0.00738525,0.0409546,0.0422974,0.0986938,0.124207,0.11615,-0.0772095,0.0866089,0.0447054,-0.0906214,-0.0374559,-0.00523577,-0.170379,-0.0217996,-0.0204009,-0.118413,-0.269552,-0.0224627,-0.15238,0.228723,0.718757,0.132112,-0.468944,-0.548457","-0.174155,-0.0306369,-0.00640952,-0.128745,-0.362258,-0.0438789,-0.0843897,0.241935,0.70378,0.126155,-0.486717,-0.527776","0.326461,-0.377659,-0.371602,0.337814,0.0394355,0.11903,-0.151097,-0.0695163,2.06032,1.81959,-1.96986,-1.98697","0.326461,-0.377659,-0.371602,0.337814,0.0394355,0.11903,-0.151097,-0.0695163,2.06032,1.81959,-1.96986,-1.98697","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.456306,0.45669,0.179722,0.19967,-0.183558,-0.195066,1.76481,1.75828,-1.76519,-1.76634","-0.00738525,0.0409546,0.0422974,0.0986938,0.124207,0.11615,-0.0772095,0.0866089,0.0745239,-0.151066,0.0892944,-0.00872803","-0.949677,0.881712,0.888456,-0.899351,-0.526329,-0.714138,0.555382,0.663813,0.0236053,0.0765247,-0.0573273,-0.0137482"
4,0.0802914,20.0728,1.00939,10,1,0,"0,-0,0,0.000868006,-0.00350801,-0.999994,0,0,0,0.0897588,-0.0843877,-0.0863065,0.0866898,0.0493385,0.0696698,-0.0531751,-0.0650665,-0.00132825,-0.0052402,0.00109827,0.000407757,-0.0409546,0.0221558,-0.020813,-0.164494,-0.0852661,-0.00201416,0.0100708,-0.0194702,0.0213458,0.056788,0.00443027,0.0181238,-0.174155,-0.0306369,-0.00640952,-0.128745,-0.362258,-0.0438789,-0.0843897,0.241935,0.70378,0.126155,-0.486717,-0.527776","-0.182865,-0.0257026,0.0116103,-0.0984063,-0.379199,-0.0412004,-0.0572622,0.265617,0.695443,0.133377,-0.529968,-0.521838","0.324284,-0.376426,-0.367097,0.345398,0.0352001,0.1197,-0.144316,-0.0635957,2.05685,1.8226,-1.98788,-1.9845","0.324284,-0.376426,-0.367097,0.345398,0.0352001,0.1197,-0.144316,-0.0635957,2.05685,1.8226,-1.98788,-1.9845","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.456306,0.45669,0.179338,0.19967,-0.183175,-0.195066,1.76481,1.75828,-1.76519,-1.76634","-0.0409546,0.0221558,-0.020813,-0.164494,-0.0852661,-0.00201416,0.0100708,-0.0194702,0.0355835,0.0946655,0.0248413,0.0302124","-0.959015,0.866667,0.926329,-0.926329,-0.530479,-0.808041,0.543968,0.666407,0.0147858,0.106615,-0.0350189,0.000778198"
5,0.10037,20.0785,0.789665,10,1,0,"0,-0,0,0.000848288,-0.00345021,-0.999994,0,0,0,0.0893744,-0.0843877,-0.0863065,0.0866898,0.0493385,0.0696698,-0.0535585,-0.0650665,-0.00132825,-0.0052402,0.00109827,0.000177777,0.0758667,-0.126896,-0.0181274,-0.0490112,-0.117493,-0.0530396,0.100037,0.0342407,0.0318174,0.0358449,-0.0511494,-0.0479274,-0.182865,-0.0257026,0.0116103,-0.0984063,-0.379199,-0.0412004,-0.0572622,0.265617,0.695443,0.133377,-0.529968,-0.521838","-0.194511,-0.0102564,0.0292791,-0.0834929,-0.369878,-0.0510648,-0.0383171,0.26698,0.688068,0.167121,-0.574631,-0.532579","0.321372,-0.372564,-0.36268,0.349127,0.0375306,0.117234,-0.139579,-0.063255,2.05377,1.83667,-2.0065,-1.98897","0.321372,-0.372564,-0.36268,0.349127,0.0375306,0.117234,-0.139579,-0.063255,2.05377,1.83667,-2.0065,-1.98897","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459374,-0.454388,-0.456306,0.45669,0.179338,0.19967,-0.183558,-0.195066,1.76481,1.75828,-1.76519,-1.76672","0.0758667,-0.126896,-0.0181274,-0.0490112,-0.117493,-0.0530396,0.100037,0.0342407,0.0530396,0.0597534,-0.0194702,-0.079895","-0.937223,0.868742,0.907652,-0.905577,-0.520103,-0.739559,0.561607,0.690273,0.0251617,0.0952015,-0.0189362,0.00389099"
6,0.120452,20.0815,0.789057,10,1,0,"0,-0,0,0.000770766,-0.00341212,-0.999994,0,0,0,0.0893744,-0.0843877,-0.0863065,0.0866898,0.0493385,0.0696698,-0.0531751,-0.0650665,-0.00132825,-0.0052402,0.00109827,0.000177777,-0.167179,-0.000671387,0.0557251,-0.0745239,-0.0221558,-0.000671387,-0.113464,-0.0758667,-0.00765228,0.0108743,0.0390669,-0.0543714,-0.194511,-0.0102564,0.0292791,-0.0834929,-0.369878,-0.0510648,-0.0383171,0.26698,0.688068,0.167121,-0.574631,-0.532579","-0.195782,-0.00571942,0.0418165,-0.0648698,-0.447735,-0.0776428,0.00764259,0.281018,0.731085,0.21549,-0.651321,-0.571014","0.321055,-0.37143,-0.359546,0.353783,0.0180662,0.110589,-0.128089,-0.0597455,2.0717,1.85683,-2.03846,-2.00499","0.321055,-0.37143,-0.359546,0.353783,0.0180662,0.110589,-0.128089,-0.0597455,2.0717,1.85683,-2.03846,-2.00499","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459374,-0.454388,-0.456306,0.45669,0.179338,0.19967,-0.183175,-0.195066,1.76481,1.75828,-1.76519,-1.76672","-0.167179,-0.000671387,0.0557251,-0.0745239,-0.0221558,-0.000671387,-0.113464,-0.0758667,-0.0127563,0.0181274,0.126896,-0.0906372","-0.952271,0.870817,0.888975,-0.921659,-0.537224,-0.740597,0.56576,0.684565,-0.011673,0.0713367,-0.0272369,-0.0158234"
7,0.140535,20.0833,0.825187,10,1,0,"0,-0,0,0.00077066,-0.00341211,-0.999994,0,0,0,0.0897588,-0.0843877,-0.0863065,0.0866898,0.0497218,0.0696698,-0.0531751,-0.0650665,-0.00132825,-0.00547018,0.00109827,0.000407757,0.0892944,-0.0557251,0.0960083,-0.0275269,0.0637817,0.0449829,0.0100708,0.0328979,0.0294009,-0.0294009,0.0455109,-0.0221513,-0.195782,-0.00571942,0.0418165,-0.0648698,-0.447735,-0.0776428,0.00764259,0.281018,0.731085,0.21549,-0.651321,-0.571014","-0.191759,0.0382991,0.0881934,-0.0324458,-0.482559,-0.125934,0.0509878,0.293858,0.735371,0.28945,-0.769957,-0.579155","0.32206,-0.360425,-0.347952,0.361889,0.00936015,0.0985166,-0.117253,-0.0565355,2.07349,1.88765,-2.0879,-2.00838","0.32206,-0.360425,-0.347952,0.361889,0.00936015,0.0985166,-0.117253,-0.0565355,2.07349,1.88765,-2.0879,-2.00838","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.456306,0.45669,0.179722,0.19967,-0.183175,-0.195066,1.76481,1.7579,-1.76519,-1.76634","0.0892944,-0.0557251,0.0960083,-0.0275269,0.0637817,0.0449829,0.0100708,0.0328979,0.0490112,-0.0490112,-0.020813,-0.0369263","-0.933073,0.871855,0.928404,-0.918547,-0.52166,-0.74371,0.5476,0.677301,0.0178986,0.063036,-0.00389099,0.00804138"
8,0.160615,20.0801,0.793185,10,1,0,"0,-0,0,0.000750951,-0.0033543,-0.999994,0,0,0,0.0897588,-0.084772,-0.0863065,0.0866898,0.0497218,0.0696698,-0.0535585,-0.0650665,-0.00132825,-0.0052402,0.00109827,0.000177777,-0.079895,-0.0167847,-0.0449829,-0.0369263,0.0449829,0.0234985,-0.124207,0.0275269,0.0438999,0.113981,-0.0285954,-0.0132908,-0.191759,0.0382991,0.0881934,-0.0324458,-0.482559,-0.125934,0.0509878,0.293858,0.735371,0.28945,-0.769957,-0.579155","-0.194474,0.0634868,0.123033,-0.0195191,-0.482205,-0.146253,0.0659616,0.283369,0.782766,0.342699,-0.875638,-0.59323","0.321381,-0.354128,-0.339242,0.36512,0.00944863,0.0934368,-0.11351,-0.0591578,2.09324,1.90984,-2.13194,-2.01425","0.321381,-0.354128,-0.339242,0.36512,0.00944863,0.0934368,-0.11351,-0.0591578,2.09324,1.90984,-2.13194,-2.01425","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454772,-0.456306,0.45669,0.179722,0.19967,-0.183558,-0.195066,1.76481,1.75828,-1.76519,-1.76672","-0.079895,-0.0167847,-0.0449829,-0.0369263,0.0449829,0.0234985,-0.124207,0.0275269,0.0731812,0.190006,0.0342407,-0.0221558","-0.951233,0.883787,0.883787,-0.930479,-0.527367,-0.763424,0.566797,0.712063,0.014267,0.0791187,-0.0469513,-0.0417633"
9,0.180686,20.0712,0.80509,10,1,0,"0,-0,0,0.000750951,-0.0033543,-0.999994,0,0,0,0.0897588,-0.0843877,-0.0863065,0.0870732,0.0493385,0.0696698,-0.0535585,-0.0650665,-0.00132825,-0.0052402,0.00109827,0.000407757,-0.0140991,-0.0422974,-0.0449829,0.129581,-0.00469971,0.0396118,0.0140991,0.020813,-0.055177,-0.105926,0.0817608,0.100287,-0.194474,0.0634868,0.123033,-0.0195191,-0.482205,-0.146253,0.0659616,0.283369,0.782766,0.342699,-0.875638,-0.59323","-0.19049,0.0913061,0.15761,0.00129621,-0.486748,-0.157171,0.0950165,0.292587,0.834284,0.413074,-0.951141,-0.623812","0.322377,-0.347173,-0.330597,0.370324,0.00831312,0.0907073,-0.106246,-0.0568533,2.11471,1.93917,-2.16341,-2.02699","0.322377,-0.347173,-0.330597,0.370324,0.00831312,0.0907073,-0.106246,-0.0568533,2.11471,1.93917,-2.16341,-2.02699","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.456306,0.457073,0.179338,0.19967,-0.183558,-0.195066,1.76481,1.75828,-1.76519,-1.76634","-0.0140991,-0.0422974,-0.0449829,0.129581,-0.00469971,0.0396118,0.0140991,0.020813,-0.09198,-0.176579,-0.0651245,0.167179","-0.938782,0.87393,0.897795,-0.898314,-0.535149,-0.738522,0.558495,0.662775,0.0241241,0.0900135,-0.0313873,0.000259399"
