tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
0,3.2e-07,0.00032,1.00157,10,1,1,"0,-0,0,0.0135154,-0.00712195,-0.999883,0,0,0,-6.79493e-06,-0.0195578,-0.00651538,0.0157212,-0.0036,-0.0036,0.0304536,0.0070523,-0.0342354,-0.0395284,0.0418294,0.0351559,0.0758667,-0.00872803,0.0409546,0.00201416,0.0933228,0.0100708,0.0960083,-0.171207,-0.0213458,-0.00765228,0.0108743,-0.00443027,0,0,0,0,0,0,0,0,0,0,0,0","-0.162085,-0.0449959,-0.0384046,-0.092413,-0.325836,-0.0645483,-0.0744769,0.269017,0.695769,0.0607282,-0.394833,-0.478317","0.329479,-0.381249,-0.379601,0.346897,0.048541,0.113863,-0.148619,-0.0627458,2.05698,1.79233,-1.93157,-1.96636","0.329479,-0.381249,-0.379601,0.346897,0.048541,0.113863,-0.148619,-0.0627458,2.05698,1.79233,-1.93157,-1.96636","0.37,-0.37,-0.37,0.37,0.13,0.13,-0.13,-0.13,1.76702,1.76702,-1.76702,-1.76702","6.79493e-06,0.0195578,0.00651538,-0.0157212,0.0036,0.00398338,-0.0304536,-0.0070523,0.0570705,0.0658939,-0.0697296,-0.0589883","0,0,0,0,0,0,0,0,0,0,0,0",0.0697296,0,1,1,"0.369993,-0.389558,-0.376131,0.385721,0.1264,0.126017,-0.0995464,-0.122948,1.70995,1.70113,-1.69729,-1.70803","0.0758667,-0.00872803,-0.0490112,0.00201416,0.0933228,0.0691528,-0.167179,-0.121521,-0.109436,-0.0127563,0.0181274,0.114807","-0.0147858,0.791958,0.250324,-0.648249,0.161089,0.151751,-1.29624,-0.309467,2.33126,2.65862,-2.85422,-2.42516"
1,0.0200695,20.0692,0.882909,10,1,1,"0,-0,0,0.0135148,-0.00712281,-0.999883,0,0,0,-6.79493e-06,-0.0195578,-0.00651538,0.0157212,-0.00398338,-0.00398338,0.0304536,0.0070523,-0.0342354,-0.0395284,0.0418294,0.0351559,0.0422974,-0.0812378,0.050354,0.109436,-0.159122,-0.10675,-0.00335693,0.0584106,0.0575935,-0.0430944,-0.0455109,-0.0688705,0,0,0,0,0,0,0,0,0,0,0,0","-0.159325,-0.0447288,-0.051746,-0.0959922,-0.2955,-0.0543979,-0.0738459,0.240899,0.669532,0.053686,-0.37961,-0.47065","0.330169,-0.381182,-0.382937,0.346002,0.056125,0.116401,-0.148461,-0.0697751,2.04605,1.78939,-1.92522,-1.96316","0.330169,-0.381182,-0.382937,0.346002,0.056125,0.116401,-0.148461,-0.0697751,2.04605,1.78939,-1.92522,-1.96316","0.369201,-0.370224,-0.37026,0.369518,0.128517,0.129727,-0.13037,-0.128791,1.77262,1.76747,-1.7702,-1.77096","-0.000792593,0.0193334,0.00625575,-0.0162028,0.00250077,0.00371045,-0.0308241,-0.00584364,0.0626704,0.0663429,-0.0729046,-0.0629247","-0.000799388,-0.000224411,-0.000259638,-0.000481635,-0.00148261,-0.00027293,-0.000370502,0.00120866,0.00559986,0.000449061,-0.00317502,-0.00393641",0.0729046,0,1,1,"0.369993,-0.389558,-0.376515,0.385721,0.126017,0.126017,-0.0995464,-0.122948,1.70995,1.70113,-1.69729,-1.70803","0.0422974,-0.0812378,0.050354,0.109436,-0.159122,-0.000671387,-0.105408,0.0584106,-0.110779,-0.0718384,-0.0758667,0.0812378","-0.00337219,0.792477,0.245655,-0.693386,0.140337,0.136705,-1.34397,-0.305317,2.33074,2.69339,-2.87964,-2.44228"
2,0.0401473,20.0778,0.854748,10,1,1,"0,-0,0,0.0135146,-0.00712374,-0.999883,0,0,0,-0.000390172,-0.0195578,-0.00651538,0.0157212,-0.00398338,-0.00398338,0.0304536,0.0070523,-0.0340055,-0.0395284,0.0415994,0.0351559,-0.0194702,0.122864,-0.0637817,0.137638,-0.109436,-0.0396118,0.0745239,-0.0342407,0.106731,-0.0205403,-0.0873994,-0.0149018,0,0,0,0,0,0,0,0,0,0,0,0","-0.152798,-0.0513341,-0.0381303,-0.0987994,-0.294886,-0.0545211,-0.0733158,0.241455,0.67432,0.0553276,-0.377204,-0.469938","0.331801,-0.382834,-0.379533,0.3453,0.0562785,0.11637,-0.148329,-0.0696362,2.04804,1.79008,-1.92422,-1.96287","0.331801,-0.382834,-0.379533,0.3453,0.0562785,0.11637,-0.148329,-0.0696362,2.04804,1.79008,-1.92422,-1.96287","0.368466,-0.370515,-0.370383,0.369008,0.12704,0.129453,-0.130736,-0.127577,1.7783,1.76795,-1.77333,-1.77488","-0.00114343,0.0190426,0.00613269,-0.0167128,0.00102368,0.00305279,-0.0311894,-0.00462888,0.0675859,0.0668195,-0.0756572,-0.0664676","-0.00073421,-0.000290811,-0.000123054,-0.000509977,-0.00147709,-0.000274286,-0.000365347,0.00121476,0.00568235,0.000476599,-0.00313604,-0.00392628",0.0756572,0,1,1,"0.36961,-0.389558,-0.376515,0.385721,0.126017,0.1264,-0.0995464,-0.122948,1.71072,1.70113,-1.69767,-1.70842","-0.0194702,0.122864,-0.0637817,0.137638,-0.109436,0.0973511,-0.0530396,-0.0342407,0.0369263,-0.0342407,-0.145695,-0.0114136","-0.0723743,0.804409,0.249287,-0.678339,0.101946,0.133593,-1.2978,-0.268482,2.48846,2.70117,-2.97873,-2.55953"
3,0.0602148,20.0675,0.790458,10,1,1,"0.00106526,-0.00532632,0,0.0134568,-0.00710327,-0.999884,0,0,0,-0.000390172,-0.0195578,-0.00651538,0.0153378,-0.00436771,-0.00398338,0.0304536,0.0070523,-0.0333144,-0.0392984,0.0409089,0.034926,-0.134953,-0.00201416,0.0409546,0.0248413,-0.0543823,-0.020813,0.227604,0.0516968,0.122036,-0.0149018,-0.0946489,-0.00684677,0,0,0,0,0,0,0,0,0,0,0,0","-0.140003,-0.0506429,-0.0511982,-0.0969791,-0.287738,-0.0453164,-0.0918167,0.232797,0.669429,0.0379642,-0.349039,-0.47","0.334999,-0.382661,-0.3828,0.345755,0.0580656,0.118671,-0.152954,-0.0718006,2.046,1.78284,-1.91248,-1.96289","0.334999,-0.382661,-0.3828,0.345755,0.0580656,0.118671,-0.152954,-0.0718006,2.046,1.78284,-1.91248,-1.96289","0.367892,-0.370762,-0.370771,0.36854,0.125668,0.129318,-0.131382,-0.126496,1.78382,1.76797,-1.77578,-1.77881","-0.00171739,0.0187955,0.00574467,-0.0167977,3.62098e-05,0.0033012,-0.0318357,-0.00354786,0.0707996,0.0664632,-0.076954,-0.0696325","-0.000573963,-0.000247151,-0.000388026,-0.000468284,-0.0013718,-0.00013496,-0.000646323,0.00108102,0.00551677,2.70605e-05,-0.00244784,-0.00393164",0.076954,0,1,1,"0.36961,-0.389558,-0.376515,0.385338,0.125632,0.126017,-0.0995464,-0.122948,1.71302,1.70151,-1.69882,-1.70918","-0.134953,-0.00201416,0.0409546,0.0248413,-0.0543823,-0.105408,-0.112122,0.0516968,-0.00335693,-0.0248413,-0.15778,-0.0302124","-0.0474701,0.801296,0.253956,-0.705318,-0.000778198,0.134111,-1.32633,-0.251362,2.54397,2.73126,-3.02905,-2.69027"
4,0.080281,20.0662,0.798907,10,1,1,"0.00426106,-0.0181095,-0.00532632,0.0129567,-0.00705114,-0.999891,0,0,0,-0.000390172,-0.0195578,-0.00651538,0.0153378,-0.00436771,-0.00398338,0.0304536,0.00743568,-0.0314734,-0.0392984,0.0402184,0.0342354,-0.0436401,0.062439,-0.0194702,0.0315552,0.100037,0.0234985,0.0355835,0.0530396,0.130897,-0.00362476,-0.123647,-0.0100688,0,0,0,0,0,0,0,0,0,0,0,0","-0.143591,-0.0533438,-0.043859,-0.0958027,-0.306569,-0.0562626,-0.0795358,0.236668,0.674244,0.0457484,-0.371747,-0.477141","0.334102,-0.383336,-0.380965,0.346049,0.0533576,0.115934,-0.149884,-0.0708329,2.04801,1.78609,-1.92195,-1.96587","0.334102,-0.383336,-0.380965,0.346049,0.0533576,0.115934,-0.149884,-0.0708329,2.04801,1.78609,-1.92195,-1.96587","0.367118,-0.371071,-0.37088,0.368077,0.123847,0.128871,-0.131596,-0.12525,1.78958,1.76855,-1.77946,-1.78298","-0.00249171,0.0184872,0.00563511,-0.0172606,-0.00178519,0.00285418,-0.0320499,-0.0026857,0.0731065,0.0670412,-0.0794816,-0.0722674","-0.000774324,-0.000308245,-0.000109553,-0.00046289,-0.0018214,-0.00044702,-0.00021413,0.00124554,0.00575924,0.000577927,-0.00367868,-0.00416934",0.0794816,0,1,1,"0.36961,-0.389558,-0.376515,0.385338,0.125632,0.126017,-0.0995464,-0.122564,1.71647,1.70151,-1.69998,-1.71072","-0.0436401,0.062439,-0.0194702,0.0315552,0.100037,0.10675,0.0664673,0.0530396,0.348454,-0.00604248,-0.20612,-0.0946655","-0.101946,0.791958,0.217121,-0.667963,0.00389099,0.121141,-1.31595,-0.205189,2.65966,2.75357,-3.0358,-2.72815"
5,0.100348,20.0671,0.785786,10,1,1,"0.00745685,-0.0330232,-0.015979,0.0120976,-0.0067354,-0.999904,0,0,0,-0.000390172,-0.0195578,-0.00651538,0.0149544,-0.00475109,-0.00398338,0.0300692,0.00781906,-0.0284819,-0.0392984,0.0383774,0.033315,-0.020813,-0.0879517,-0.0275269,-0.0516968,0.179264,0.0114136,-0.0960083,0.117493,0.180032,-0.0575935,-0.173588,-0.0334284,0,0,0,0,0,0,0,0,0,0,0,0","-0.149176,-0.051065,-0.0463576,-0.0985391,-0.325393,-0.0610941,-0.0751354,0.235435,0.667598,0.0442968,-0.367447,-0.480214","0.332706,-0.382766,-0.381589,0.345365,0.0486517,0.114726,-0.148784,-0.0711412,2.04524,1.78548,-1.92015,-1.96715","0.332706,-0.382766,-0.381589,0.345365,0.0486517,0.114726,-0.148784,-0.0711412,2.04524,1.78548,-1.92015,-1.96715","0.366258,-0.371281,-0.371163,0.367528,0.121837,0.128467,-0.131885,-0.124094,1.79494,1.76887,-1.78239,-1.7871","-0.0033522,0.0182768,0.00535241,-0.0174265,-0.00341203,0.00245072,-0.0315708,-0.00191271,0.0727137,0.067363,-0.0793417,-0.0744674","-0.000860482,-0.000210434,-0.000282705,-0.000549257,-0.00201022,-0.000403464,-0.000288621,0.00115636,0.00536072,0.000321865,-0.00292897,-0.0041188",0.0793417,0,1,1,"0.36961,-0.389558,-0.376515,0.384954,0.125249,0.126017,-0.100314,-0.122181,1.72223,1.70151,-1.70304,-1.71264","-0.020813,-0.0879517,-0.0275269,-0.0516968,0.179264,0.0302124,0.0772095,0.117493,0.321598,-0.0960083,-0.289371,-0.187321","-0.0983143,0.784176,0.214008,-0.725033,-0.0594025,0.0900135,-1.30143,-0.145525,2.66744,2.67315,-3.03943,-2.8454"
6,0.120413,20.0651,0.958143,10,1,1,"-0.00213053,-0.0458064,-0.0298274,0.0107806,-0.00625199,-0.999922,0,0,0,-0.000773549,-0.0199412,-0.00689876,0.0145701,-0.00475109,-0.00398338,0.0293025,0.00781906,-0.0250305,-0.0390679,0.034926,0.0317039,-0.164494,0.0745239,0.0154419,-0.0597534,0.120178,0.0584106,0.0449829,0.0288696,0.231587,0.0269843,-0.217891,-0.0769278,0,0,0,0,0,0,0,0,0,0,0,0","-0.14321,-0.066658,-0.0588541,-0.113434,-0.326589,-0.062644,-0.0898697,0.224136,0.655176,0.0310539,-0.326047,-0.475084","0.334197,-0.386665,-0.384714,0.341641,0.0483528,0.114339,-0.152467,-0.0739659,2.04006,1.77996,-1.9029,-1.96501","0.334197,-0.386665,-0.384714,0.341641,0.0483528,0.114339,-0.152467,-0.0739659,2.04006,1.77996,-1.9029,-1.96501","0.365689,-0.372007,-0.371772,0.366585,0.120169,0.128114,-0.132705,-0.123253,1.7999,1.76858,-1.78338,-1.79086","-0.00353754,0.0179346,0.00512707,-0.0179848,-0.00508029,0.00209759,-0.0312392,-0.00107183,0.0711516,0.0666845,-0.0745833,-0.0740066","-0.000568718,-0.000725567,-0.000608712,-0.000942677,-0.00166826,-0.000353128,-0.000820443,0.000840887,0.00495911,-0.000294209,-0.000995159,-0.00375819",0.0745833,0,1,1,"0.369226,-0.389941,-0.376899,0.38457,0.125249,0.126017,-0.101466,-0.122181,1.72875,1.70189,-1.7088,-1.71685","-0.164494,0.0745239,-0.0906372,-0.0597534,0.120178,0.0261841,0.0234985,0.0288696,0.340397,0.0449829,-0.363224,-0.176579","-0.123217,0.76965,0.230091,-0.749935,-0.13463,0.0863819,-1.25318,-0.116991,2.60311,2.68456,-2.97873,-2.82412"
7,0.140489,20.0758,0.81145,10,1,1,"-0.036219,-0.0490022,-0.0447411,0.00944226,-0.00511228,-0.999942,0,0,0,-0.00192463,-0.0199412,-0.00728214,0.0141867,-0.00475109,-0.00436771,0.0281504,0.00781906,-0.020658,-0.0386079,0.0323945,0.0287125,-0.000671387,-0.0691528,0.0637817,-0.215519,0.0261841,-0.118835,-0.0812378,0.0261841,0.20903,0.00523577,-0.199364,-0.143785,0,0,0,0,0,0,0,0,0,0,0,0","-0.152338,-0.0639502,-0.0675373,-0.113795,-0.325307,-0.0684844,-0.0896667,0.214403,0.626775,0.0363211,-0.31067,-0.469562","0.331915,-0.385988,-0.386884,0.341551,0.0486731,0.112879,-0.152417,-0.0763993,2.02823,1.78216,-1.89649,-1.96271","0.331915,-0.385988,-0.386884,0.341551,0.0486731,0.112879,-0.152417,-0.0763993,2.02823,1.78216,-1.89649,-1.96271","0.36465,-0.372246,-0.372372,0.366003,0.118574,0.127595,-0.133149,-0.12247,1.80372,1.76915,-1.78521,-1.79451","-0.00342581,0.0176951,0.00491008,-0.0181835,-0.00667442,0.00234577,-0.0301486,-0.00028877,0.0684491,0.066486,-0.0721909,-0.0742058","-0.00103936,-0.000239462,-0.000600368,-0.00058201,-0.00159413,-0.000519529,-0.00044392,0.000783056,0.00381875,0.000568271,-0.0018276,-0.0036515",0.0742058,0,1,1,"0.368075,-0.389941,-0.377282,0.384187,0.125249,0.125249,-0.103001,-0.122181,1.73527,1.70266,-1.71302,-1.72031","-0.000671387,-0.0691528,0.0637817,-0.215519,0.0261841,-0.145695,-0.0637817,0.0261841,0.152409,0.00872803,-0.33234,-0.126896","-0.118547,0.741116,0.244099,-0.725033,-0.225422,0.137743,-1.25214,-0.0619965,2.62594,2.7655,-2.87185,-2.89313"
8,0.160555,20.0656,0.793274,10,1,1,"0,-0.0308927,-0.0575243,0.00807148,-0.00441787,-0.999958,0,0,0,-0.00230801,-0.0203246,-0.00843322,0.0141867,-0.00436771,-0.00475109,0.026616,0.00781906,-0.0172066,-0.0376874,0.028943,0.0271021,-0.0476685,0.0543823,0.105408,-0.0396118,-0.112122,-0.0610962,-0.00604248,-0.0369263,0.171172,0.071287,-0.058399,-0.148618,0,0,0,0,0,0,0,0,0,0,0,0","-0.157847,-0.07677,-0.0740398,-0.128472,-0.309924,-0.0688813,-0.0915158,0.205582,0.613736,0.0390674,-0.33149,-0.476494","0.330538,-0.389192,-0.38851,0.337882,0.052519,0.11278,-0.152879,-0.0786045,2.02279,1.7833,-1.90517,-1.9656","0.330538,-0.389192,-0.38851,0.337882,0.052519,0.11278,-0.152879,-0.0786045,2.02279,1.7833,-1.90517,-1.9656","0.363664,-0.373081,-0.372972,0.364843,0.11756,0.127235,-0.133673,-0.121748,1.80809,1.76963,-1.7892,-1.7989","-0.00402772,0.0172431,0.00546136,-0.0193434,-0.0080722,0.00236967,-0.0295225,0.0004327,0.0670636,0.065439,-0.0704284,-0.0755273","-0.000985295,-0.000835359,-0.000599802,-0.00115997,-0.0010144,-0.000359476,-0.000524029,0.00072147,0.0043689,0.000487447,-0.00399101,-0.00439048",0.0755273,0,1,1,"0.367692,-0.390325,-0.378433,0.384187,0.125632,0.124866,-0.104151,-0.122181,1.74102,1.7042,-1.71877,-1.72338","-0.0476685,0.0543823,0.105408,-0.0396118,-0.112122,0.0516968,0.0114136,-0.0369263,0.286686,0.118835,-0.0973511,0.00335693","-0.108171,0.773281,0.271595,-0.736446,-0.314138,0.145006,-1.22361,-0.0313873,2.56213,2.54449,-2.77276,-2.84851"
9,0.180621,20.0661,0.807514,10,1,1,"-0.015979,-0.00958738,-0.0639159,0.00714304,-0.0044715,-0.999965,0,0,0,-0.00307572,-0.0210923,-0.0088166,0.0130366,-0.00475109,-0.00551784,0.0254649,0.00781906,-0.0144451,-0.0358465,0.0268715,0.0245706,0.00738525,-0.079895,0.020813,-0.0100708,-0.0812378,-0.00738525,-0.0691528,0.212833,0.0285954,0.133313,-0.16795,-0.179227,0,0,0,0,0,0,0,0,0,0,0,0","-0.171597,-0.0706943,-0.076546,-0.134882,-0.306011,-0.0699471,-0.0884348,0.188181,0.610315,0.0244774,-0.3344,-0.462079","0.327101,-0.387674,-0.389136,0.33628,0.0534971,0.112513,-0.152109,-0.0829547,2.02137,1.77722,-1.90638,-1.95959","0.327101,-0.387674,-0.389136,0.33628,0.0534971,0.112513,-0.152109,-0.0829547,2.02137,1.77722,-1.90638,-1.95959","0.362252,-0.373192,-0.373456,0.363909,0.116182,0.126842,-0.133993,-0.121503,1.81296,1.76886,-1.79219,-1.8018","-0.00467277,0.0179001,0.00536016,-0.0191272,-0.00906689,0.00274275,-0.0286914,0.000678286,0.0681028,0.0615985,-0.0699663,-0.0734392","-0.00141275,-0.000110775,-0.000484586,-0.000933886,-0.00137807,-0.000393674,-0.000319973,0.000245586,0.00487494,-0.000771523,-0.0029912,-0.00289965",0.0734392,0,1,1,"0.366924,-0.391092,-0.378817,0.383037,0.125249,0.124099,-0.105302,-0.122181,1.74486,1.70726,-1.72223,-1.72836","0.00738525,-0.079895,0.020813,-0.0100708,-0.0812378,0.0973511,-0.15778,0.212833,0.239689,0.222233,-0.279972,-0.192692","-0.107134,0.733852,0.274189,-0.793514,-0.357199,0.137224,-1.2096,0.0137482,2.60726,2.56057,-2.78573,-2.94241"
