tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
0,2.24e-07,0.000224,1.04559,10,1,0,"-0.00319579,-0.00532632,-0.00319579,-0.00486908,0.00476318,-0.999977,0,0,0,-0.0214757,0.0264624,0.0207089,-0.0203246,-0.0132791,-0.020568,0.0113612,0.0159637,-0.00109827,0.363874,0.000407757,0.00132825,0.0597534,0.0543823,0.0825806,-0.109436,0.00738525,0.0194702,0.0543823,0.0704956,-0.0173183,1.1982,0.00604127,0.0302064,0,0,0,0,0,0,0,0,0,0,0,0","-0.065197,-0.143522,-0.188107,-0.188561,-0.0841898,0.0704411,-0.293653,0.00184355,0.461589,0.109362,0.0176305,-0.54545","0.386299,-0.334119,-0.322973,0.41714,0.151047,0.11239,-0.0565868,-0.130461,1.95939,1.8126,-1.75967,-1.99434","0.386299,-0.334119,-0.322973,0.41714,0.151047,0.11239,-0.0565868,-0.130461,1.95939,1.8126,-1.75967,-1.99434","0.37,-0.37,-0.37,0.37,0.13,0.13,-0.13,-0.13,1.76702,0,0,0","-0.0214757,0.0264624,0.0207089,-0.0203246,-0.0132791,-0.0221025,0.0113612,0.0159637,0.00183082,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0.606578,0,1,1,"0.391476,-0.39723,-0.390709,0.390325,0.143279,0.153254,-0.141361,-0.14558,1.76519,2.40927,-1.76672,-1.76481","0.0570679,0.00335693,0.167179,-0.0678101,-0.0476685,0.0181274,-0.00872803,-0.0261841,0.122864,1.53414,-0.0275269,0.0731812","-0.943451,1.10013,0.848509,-0.861998,-0.572504,-1.02023,0.454735,0.654474,0.0578461,0.0562897,-0.0521393,-0.105577"
1,0.0200695,20.0692,0,10,1,0,"-0.00106526,-0.00319579,-0.00426106,-0.00450705,0.00556509,-0.999974,0,0,0,-0.0214757,0.0272301,0.0207089,-0.0203246,-0.0132791,-0.0232536,0.0113612,0.0155803,-0.00109827,0.385275,0.000177777,0.00132825,-0.0570679,-0.00335693,-0.167179,0.0678101,0.0476685,-0.0181274,0.00872803,0.0261841,0.0737035,0.920301,-0.0165128,0.0438999,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.391476,-0.39723,-0.390709,0.390325,0.143279,0.153254,-0.141361,-0.14558,1.76519,2.40927,-1.76672,-1.76481","0.0570679,0.00335693,0.167179,-0.0678101,-0.0476685,0.0181274,-0.00872803,-0.0261841,0.122864,1.53414,-0.0275269,0.0731812","-0.943451,1.10013,0.848509,-0.861998,-0.572504,-1.02023,0.454735,0.654474,0.0578461,0.0562897,-0.0521393,-0.105577"
2,0.0401423,20.0728,0,10,1,0,"0.00106526,-0.00213053,-0.00106526,-0.00454672,0.00617698,-0.999971,0,0,0,-0.0214757,0.0276135,0.0207089,-0.0203246,-0.0132791,-0.024788,0.0113612,0.0159637,-0.00132825,0.398392,0.000177777,0.00132825,0.038269,0.0302124,-0.122864,-0.0637817,-0.0181274,-0.125553,-0.10675,0.0557251,-0.0849828,0.464379,-0.0511494,-0.00201376,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.391476,-0.397614,-0.390709,0.390325,0.143279,0.154788,-0.141361,-0.145964,1.76481,2.43114,-1.76672,-1.76481","-0.038269,-0.0302124,0.122864,0.0637817,0.0181274,0.125553,0.10675,-0.0557251,-0.141666,0.77412,-0.0852661,-0.00335693","-0.91699,1.12244,0.837095,-0.83917,-0.562126,-0.988586,0.458885,0.650324,0.0661488,-0.0184174,-0.0158234,-0.0967579"
3,0.0602239,20.0816,0,10,1,0,"0.00319579,-0,0.00106526,-0.00496873,0.00610676,-0.999969,0,0,0,-0.0214757,0.0276135,0.0207089,-0.0203246,-0.0132791,-0.0255548,0.0113612,0.0159637,-0.00109827,0.403225,0.000407757,0.00132825,0.0678101,0.0530396,0.0114136,-0.0812378,0.00335693,-0.13361,-0.0691528,0.00469971,-0.00201376,0.0318174,-0.0149018,-0.000402751,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.391476,-0.397614,-0.390709,0.390325,0.143279,0.155555,-0.141361,-0.145964,1.76519,2.4392,-1.76634,-1.76481","-0.0678101,-0.0530396,-0.0114136,0.0812378,-0.00335693,0.13361,0.0691528,-0.00469971,-0.00335693,0.0530396,-0.0248413,-0.000671387","-0.927366,1.13645,0.872374,-0.859922,-0.583918,-1.06641,0.436056,0.651361,0.0728931,-0.0894947,0.0158234,-0.0957203"
4,0.0802949,20.071,0,10,1,0,"0,-0,0.00106526,-0.00557239,0.00563493,-0.999969,0,0,0,-0.0214757,0.0276135,0.0207089,-0.0203246,-0.0132791,-0.0259382,0.0109769,0.0155803,-0.00109827,0.402764,0.000177777,0.00132825,0.00604248,0.112122,-0.0718384,0.0154419,-0.0597534,-0.00469971,-0.0114136,-0.0328979,0.0205403,0.126063,-0.12123,0.0269843,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.391476,-0.397614,-0.390709,0.390325,0.143279,0.155938,-0.140977,-0.14558,1.76519,2.43843,-1.76672,-1.76481","-0.00604248,-0.112122,0.0718384,-0.0154419,0.0597534,0.00469971,0.0114136,0.0328979,0.0342407,0.210148,-0.202091,0.0449829","-0.887419,1.12607,0.839689,-0.855772,-0.576654,-1.09027,0.430868,0.646692,0.0863819,-0.0713367,-0.022049,-0.0967579"
5,0.100377,20.0817,0,10,1,0,"-0.00106526,-0,-0.00106526,-0.00603532,0.00506257,-0.999969,0,0,0,-0.0214757,0.0276135,0.0207089,-0.0199412,-0.0132791,-0.0263225,0.0113612,0.0159637,-0.00109827,0.402764,0.000407757,0.00132825,0.0315552,0.0973511,0.0758667,0.0315552,-0.0154419,-0.0355835,0.0866089,0.0664673,0.0366504,-0.0519549,-0.0213458,0.0197348,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.391476,-0.397614,-0.390709,0.389941,0.143279,0.156322,-0.141361,-0.145964,1.76519,2.43843,-1.76634,-1.76481","-0.0315552,-0.0973511,-0.0758667,-0.0315552,0.0154419,0.0355835,-0.0866089,-0.0664673,0.0610962,-0.0866089,-0.0355835,0.0328979","-0.922178,1.10013,0.851103,-0.85214,-0.581324,-1.09702,0.461479,0.640985,0.0640736,-0.0578461,-0.022049,-0.108171"
6,0.120446,20.0699,0,10,1,0,"0,0.00426106,-0.00639159,-0.00614713,0.0046102,-0.99997,0,0,0,-0.0214757,0.0272301,0.0207089,-0.0199412,-0.0132791,-0.0270892,0.0113612,0.0159637,-0.00109827,0.402534,0.000407757,0.00109827,0.0409546,-0.117493,0.0476685,0.0369263,-0.0490112,-0.09198,-0.0584106,-0.079895,-0.0310119,-0.0962599,0.00201376,-0.0503439,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.391476,-0.39723,-0.390709,0.389941,0.143279,0.157089,-0.141361,-0.145964,1.76519,2.43804,-1.76634,-1.76519","-0.0409546,0.117493,-0.0476685,-0.0369263,0.0490112,0.09198,0.0584106,0.079895,-0.0516968,-0.160465,0.00335693,-0.0839233","-0.879118,1.07627,0.830351,-0.857328,-0.57873,-1.13696,0.467705,0.652918,0.0671864,-0.0469513,-0.0837879,-0.118547"
7,0.140519,20.0721,0,10,1,0,"0.00106526,0.00426106,-0.0117179,-0.00581713,0.00447796,-0.999973,0,0,0,-0.0214757,0.0253114,0.0207089,-0.0203246,-0.0136625,-0.0293914,0.0113612,0.0159637,-0.00132825,0.400233,0.000407757,0.00132825,-0.0785522,-0.0772095,0.0718384,-0.038269,-0.15778,-0.140324,-0.141666,-0.00872803,-0.0978709,-0.196142,0.0938434,-0.064843,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.391476,-0.395311,-0.390709,0.390325,0.143662,0.159391,-0.141361,-0.145964,1.76481,2.43421,-1.76634,-1.76481","0.0785522,0.0772095,-0.0718384,0.038269,0.15778,0.140324,0.141666,0.00872803,-0.163151,-0.326969,0.156437,-0.108093","-0.921141,0.96109,0.852659,-0.855772,-0.561607,-1.36472,0.440727,0.632166,0.0713367,-0.0500641,-0.0536957,-0.105059"
8,0.160607,20.088,0,10,1,0,"-0.00426106,-0.00319579,-0.0191748,-0.00559722,0.00500843,-0.999972,0,0,0,-0.0214757,0.0237769,0.0207089,-0.0203246,-0.0132791,-0.0339938,0.0109769,0.0159637,-0.00109827,0.393099,0.000407757,0.00132825,0.0288696,0.00335693,-0.0100708,0.194035,0.0396118,-0.348454,-0.0637817,0.175236,-0.0978709,-0.319386,-0.0181238,0.0849828,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.391476,-0.393777,-0.390709,0.390325,0.143279,0.163994,-0.140977,-0.145964,1.76519,2.42232,-1.76634,-1.76481","-0.0288696,-0.00335693,0.0100708,-0.194035,-0.0396118,0.348454,0.0637817,-0.175236,-0.163151,-0.532417,-0.0302124,0.141666","-0.922178,1.02335,0.855253,-0.855253,-0.583399,-1.41608,0.466148,0.623346,0.0319061,0.0256805,-0.0324249,-0.0905323"
9,0.180675,20.068,0,10,1,0,"-0.0106526,-0.0106526,-0.00745685,-0.0055573,0.00588072,-0.999967,0,0,0,-0.0214757,0.0241612,0.0207089,-0.0203246,-0.0132791,-0.036296,0.0113612,0.0159637,-0.00109827,0.382974,0.000177777,0.00132825,-0.000671387,0.0772095,0.0570679,-0.0248413,0.000671387,-0.219547,-0.0852661,0.00738525,-0.0390669,-0.606956,-0.000402751,-0.0108743,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.391476,-0.394161,-0.390709,0.390325,0.143279,0.166296,-0.141361,-0.145964,1.76519,2.40544,-1.76672,-1.76481","0.000671387,-0.0772095,-0.0570679,0.0248413,-0.000671387,0.219547,0.0852661,-0.00738525,-0.0651245,-1.0118,-0.000671387,-0.0181274","-0.92996,0.992218,0.846952,-0.859922,-0.582361,-1.50843,0.457848,0.649805,0.0536957,0.0500641,-0.0531769,-0.113359"
