tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
0,1.6e-07,0.00016,0.995244,10,1,0,"0.00213053,0.00106526,-0.00745685,-0.0010405,-0.00357927,-0.999993,0,0,0,0.0149544,-0.0199412,-0.0195578,0.0203246,0.0140458,0.0140458,-0.0136625,-0.0178825,-0.00109827,-0.00178878,0.000177777,0.00431971,0.0597534,-0.0315552,0.0664673,-0.0369263,0.0181274,-0.250431,-0.0664673,-0.0328979,0.00684677,0.0543714,0.0285954,-0.0406779,0,0,0,0,0,0,0,0,0,0,0,0","-0.154597,-0.071439,-0.102549,-0.129549,-0.185816,0.0400541,-0.186738,0.191819,0.667015,0.0407355,-0.303236,-0.531825","0.331351,-0.38786,-0.395637,0.337613,0.0835461,0.140014,-0.176684,-0.0820453,2.045,1.784,-1.89339,-1.98866","0.331351,-0.38786,-0.395637,0.337613,0.0835461,0.140014,-0.176684,-0.0820453,2.045,1.784,-1.89339,-1.98866","","","",0.279809,0,1,1,"0.384954,-0.389941,-0.389558,0.390325,0.144046,0.144046,-0.143662,-0.147882,1.76519,1.76404,-1.76672,-1.75982","0.0597534,-0.0315552,0.0664673,-0.0369263,0.0181274,-0.250431,-0.0664673,-0.0328979,0.0114136,0.0906372,0.0476685,-0.0678101","-0.637354,0.807003,0.815825,-0.832945,-0.640985,-0.593256,0.557976,0.672113,0.0573273,0.13048,-0.0225677,-0.310505"
1,0.0200755,20.0753,0.923529,10,1,0,"-0.00213053,-0.00532632,-0.00106526,-0.000237305,-0.00389594,-0.999992,0,0,0,0.0149544,-0.0199412,-0.0195578,0.0203246,0.0140458,0.0140458,-0.0136625,-0.0182658,-0.00109827,-0.00155823,0.000177777,0.00431971,-0.00335693,-0.0731812,-0.0946655,-0.130924,-0.0476685,0.0234985,0.00201416,-0.156437,-0.00604127,0.0906214,-0.0688705,-0.0253733,-0.154597,-0.071439,-0.102549,-0.129549,-0.185816,0.0400541,-0.186738,0.191819,0.667015,0.0407355,-0.303236,-0.531825","-0.137325,-0.091753,-0.0808503,-0.133881,-0.268099,-0.0118453,-0.151666,0.18729,0.64392,0.0280035,-0.25565,-0.47962","0.335669,-0.392938,-0.390213,0.33653,0.0629753,0.127039,-0.167916,-0.0831775,2.03537,1.77869,-1.87356,-1.9669","0.335669,-0.392938,-0.390213,0.33653,0.0629753,0.127039,-0.167916,-0.0831775,2.03537,1.77869,-1.87356,-1.9669","","","",0.270185,0,1,1,"0.384954,-0.389941,-0.389558,0.390325,0.144046,0.144046,-0.143662,-0.148266,1.76519,1.76442,-1.76672,-1.75982","-0.00335693,-0.0731812,-0.0946655,-0.130924,-0.0476685,0.0234985,0.00201416,-0.156437,-0.0100708,0.151066,-0.114807,-0.0422974","-0.639948,0.802853,0.8179,-0.866148,-0.609339,-0.62179,0.55175,0.742672,0.0744495,0.0505829,-0.0386505,-0.311024"
2,0.0401631,20.0876,0.825317,10,1,0,"-0.00319579,-0.00213053,0.00639159,0.000511769,-0.00470176,-0.999989,0,0,0,0.0149544,-0.0195578,-0.0199412,0.0203246,0.0140458,0.0140458,-0.0136625,-0.0178825,-0.00109827,-0.00178878,0.000177777,0.00431971,-0.149723,0.0839233,-0.0745239,0.0127563,0.0530396,0.140324,-0.000671387,0.079895,0.0753168,0.0487329,0.0487329,-0.0479274,-0.137325,-0.091753,-0.0808503,-0.133881,-0.268099,-0.0118453,-0.151666,0.18729,0.64392,0.0280035,-0.25565,-0.47962","-0.104618,-0.0999295,-0.0753417,-0.131506,-0.275057,-0.0171662,-0.142179,0.160427,0.632818,0.00885481,-0.254008,-0.467752","0.343846,-0.394982,-0.388835,0.337123,0.0612357,0.125708,-0.165545,-0.0898932,2.03075,1.77071,-1.87288,-1.96196","0.343846,-0.394982,-0.388835,0.337123,0.0612357,0.125708,-0.165545,-0.0898932,2.03075,1.77071,-1.87288,-1.96196","","","",0.265558,0,1,1,"0.384954,-0.389558,-0.389941,0.390325,0.144046,0.144046,-0.143662,-0.147882,1.76519,1.76404,-1.76672,-1.75982","-0.149723,0.0839233,-0.0745239,0.0127563,0.0530396,0.140324,-0.000671387,0.079895,0.125553,0.0812378,0.0812378,-0.079895","-0.645655,0.797146,0.794033,-0.855772,-0.626978,-0.575617,0.566797,0.729183,0.0619965,0.113359,0.000778198,-0.322439"
3,0.0602299,20.0669,0.808964,10,1,0,"-0.00319579,-0.00532632,0.0106526,0.000681479,-0.00509364,-0.999987,0,0,0,0.0149544,-0.0199412,-0.0195578,0.0203246,0.0140458,0.0140458,-0.0136625,-0.0178825,-0.00132825,-0.00155823,0.000177777,0.00431971,0.0449829,-0.110779,-0.118835,-0.062439,-0.136295,0.0463257,0.165836,-0.0933228,-0.0720925,0.061621,0.00523577,-0.0197348,-0.104618,-0.0999295,-0.0753417,-0.131506,-0.275057,-0.0171662,-0.142179,0.160427,0.632818,0.00885481,-0.254008,-0.467752","-0.120123,-0.0893008,-0.0657103,-0.124307,-0.289684,-0.0126563,-0.124763,0.190065,0.623822,0.00667646,-0.271581,-0.468178","0.339969,-0.392325,-0.386428,0.338923,0.0575789,0.126836,-0.161191,-0.0824838,2.027,1.7698,-1.8802,-1.96213","0.339969,-0.392325,-0.386428,0.338923,0.0575789,0.126836,-0.161191,-0.0824838,2.027,1.7698,-1.8802,-1.96213","","","",0.262192,0,1,1,"0.384954,-0.389941,-0.389558,0.390325,0.144046,0.144046,-0.143662,-0.147882,1.76481,1.76442,-1.76672,-1.75982","0.0449829,-0.110779,-0.118835,-0.062439,-0.136295,0.0463257,0.165836,-0.0933228,-0.120178,0.102722,0.00872803,-0.0328979","-0.640467,0.811672,0.786251,-0.852659,-0.615046,-0.615564,0.591181,0.73489,0.0728931,0.109728,-0.0215302,-0.305836"
4,0.0802946,20.0646,0.788323,10,1,0,"0.00106526,-0,0.00319579,0.000374721,-0.00469445,-0.999989,0,0,0,0.0149544,-0.0199412,-0.0195578,0.0203246,0.0140458,0.0140458,-0.0136625,-0.0178825,-0.00132825,-0.00155823,0.000177777,0.00431971,-0.00872803,0.0516968,0.0127563,0.0221558,-0.062439,0.105408,0.152409,0.038269,0.0455109,0.064843,0.00281926,0.0149018,-0.120123,-0.0893008,-0.0657103,-0.124307,-0.289684,-0.0126563,-0.124763,0.190065,0.623822,0.00667646,-0.271581,-0.468178","-0.122388,-0.103212,-0.0670215,-0.119437,-0.303112,-0.0113486,-0.109862,0.185571,0.623381,-0.00290232,-0.290355,-0.471899","0.339403,-0.395803,-0.386755,0.340141,0.0542221,0.127163,-0.157465,-0.0836071,2.02681,1.76581,-1.88803,-1.96368","0.339403,-0.395803,-0.386755,0.340141,0.0542221,0.127163,-0.157465,-0.0836071,2.02681,1.76581,-1.88803,-1.96368","","","",0.262008,0,1,1,"0.384954,-0.389941,-0.389558,0.390325,0.144046,0.144046,-0.143662,-0.147882,1.76481,1.76442,-1.76672,-1.75982","-0.00872803,0.0516968,0.0127563,0.0221558,-0.062439,0.105408,0.152409,0.038269,0.0758667,0.108093,0.00469971,0.0248413","-0.659662,0.811672,0.815306,-0.867704,-0.616602,-0.597925,0.568872,0.74371,0.0843067,0.109209,-0.0360565,-0.291828"
5,0.100374,20.0796,0.810916,10,1,0,"0.00319579,0.00106526,-0.00213053,-0.000189492,-0.0040079,-0.999992,0,0,0,0.0149544,-0.0199412,-0.0195578,0.0203246,0.0140458,0.0140458,-0.0136625,-0.0182658,-0.00109827,-0.00178878,0.000177777,0.00408973,0.00738525,0.0543823,0.153751,0.0825806,-0.0234985,0.100037,-0.0328979,-0.120178,-0.0463164,-0.0221513,-0.0503439,-0.0229568,-0.122388,-0.103212,-0.0670215,-0.119437,-0.303112,-0.0113486,-0.109862,0.185571,0.623381,-0.00290232,-0.290355,-0.471899","-0.140137,-0.100704,-0.06075,-0.110746,-0.32488,-0.0276759,-0.0588246,0.204261,0.615362,0.0254747,-0.345048,-0.494334","0.334966,-0.395176,-0.385188,0.342313,0.0487801,0.123081,-0.144706,-0.0789349,2.02347,1.77764,-1.91082,-1.97303","0.334966,-0.395176,-0.385188,0.342313,0.0487801,0.123081,-0.144706,-0.0789349,2.02347,1.77764,-1.91082,-1.97303","","","",0.258283,0,1,1,"0.384954,-0.389941,-0.389558,0.390325,0.144046,0.144046,-0.143662,-0.148266,1.76519,1.76404,-1.76672,-1.7602","0.00738525,0.0543823,0.153751,0.0825806,-0.0234985,0.100037,-0.0328979,-0.120178,-0.0772095,-0.0369263,-0.0839233,-0.038269","-0.652399,0.802334,0.807522,-0.866148,-0.636316,-0.636316,0.566797,0.716732,0.0562897,0.0910511,-0.0578461,-0.318289"
6,0.120439,20.0646,0.815588,10,1,0,"0.00106526,-0.00106526,-0.00426106,-0.000816975,-0.003482,-0.999994,0,0,0,0.0149544,-0.0199412,-0.0195578,0.0203246,0.0140458,0.0140458,-0.0136625,-0.0182658,-0.00132825,-0.00155823,0.000177777,0.00431971,0.0637817,-0.0584106,0.0812378,-0.0409546,-0.0812378,-0.212833,-0.0543823,-0.124207,0.00443027,0.0358449,0.0342339,0.00604127,-0.140137,-0.100704,-0.06075,-0.110746,-0.32488,-0.0276759,-0.0588246,0.204261,0.615362,0.0254747,-0.345048,-0.494334","-0.150622,-0.0917896,-0.0554974,-0.0967787,-0.321877,-0.0136653,-0.0503214,0.210667,0.624975,0.0472426,-0.371574,-0.523874","0.332345,-0.392947,-0.383874,0.345805,0.0495307,0.126584,-0.14258,-0.0773333,2.02748,1.78671,-1.92187,-1.98534","0.332345,-0.392947,-0.383874,0.345805,0.0495307,0.126584,-0.14258,-0.0773333,2.02748,1.78671,-1.92187,-1.98534","","","",0.262673,0,1,1,"0.384954,-0.389941,-0.389558,0.390325,0.144046,0.144046,-0.143662,-0.148266,1.76481,1.76442,-1.76672,-1.75982","0.0637817,-0.0584106,0.0812378,-0.0409546,-0.0812378,-0.212833,-0.0543823,-0.124207,0.00738525,0.0597534,0.0570679,0.0100708","-0.632685,0.808041,0.822569,-0.840727,-0.59585,-0.602594,0.544487,0.742153,0.0521393,0.114916,-0.0334625,-0.323996"
7,0.140511,20.0726,0.817445,10,1,0,"-0.00213053,-0.00213053,-0.00319579,-0.000911839,-0.00372285,-0.999993,0,0,0,0.0149544,-0.0199412,-0.0195578,0.0203246,0.0140458,0.0140458,-0.0140458,-0.0182658,-0.00109827,-0.00155823,0.000177777,0.00431971,-0.0167847,-0.0664673,0.0758667,-0.0396118,-0.00872803,-0.0476685,-0.0745239,0.0490112,0.000402751,0.0438999,0.0285954,-0.0463164,-0.150622,-0.0917896,-0.0554974,-0.0967787,-0.321877,-0.0136653,-0.0503214,0.210667,0.624975,0.0472426,-0.371574,-0.523874","-0.15075,-0.0733551,-0.0390484,-0.0831177,-0.358514,-0.0440777,-0.0136338,0.221848,0.632272,0.0791711,-0.436579,-0.520869","0.332313,-0.388339,-0.379762,0.349221,0.0403716,0.118981,-0.133408,-0.0745381,2.03052,1.80001,-1.94896,-1.98409","0.332313,-0.388339,-0.379762,0.349221,0.0403716,0.118981,-0.133408,-0.0745381,2.03052,1.80001,-1.94896,-1.98409","","","",0.26533,0,1,1,"0.384954,-0.389941,-0.389558,0.390325,0.144046,0.144046,-0.144046,-0.148266,1.76519,1.76442,-1.76672,-1.75982","-0.0167847,-0.0664673,0.0758667,-0.0396118,-0.00872803,-0.0476685,-0.0745239,0.0490112,0.000671387,0.0731812,0.0476685,-0.0772095","-0.643579,0.815306,0.803371,-0.840727,-0.606226,-0.595331,0.576654,0.73489,0.0754871,0.102983,-0.00907898,-0.328146"
8,0.160581,20.0693,0.80586,10,1,0,"-0.00426106,-0.00106526,0.00213053,-0.000634853,-0.00466717,-0.999989,0,0,0,0.0149544,-0.0199412,-0.0195578,0.0203246,0.0140458,0.0140458,-0.0136625,-0.0182658,-0.00132825,-0.00155823,0.000177777,0.00431971,-0.144352,-0.0597534,-0.0597534,0.0476685,-0.134953,0.140324,0.101379,-0.114807,0.0149018,0.0543714,-0.0189293,-0.0108743,-0.15075,-0.0733551,-0.0390484,-0.0831177,-0.358514,-0.0440777,-0.0136338,0.221848,0.632272,0.0791711,-0.436579,-0.520869","-0.146747,-0.0571026,-0.0187302,-0.0761536,-0.351386,-0.061661,-0.0210249,0.241525,0.683186,0.11048,-0.506493,-0.549417","0.333313,-0.384276,-0.374683,0.350962,0.0421534,0.114585,-0.135256,-0.0696187,2.05174,1.81306,-1.9781,-1.99599","0.333313,-0.384276,-0.374683,0.350962,0.0421534,0.114585,-0.135256,-0.0696187,2.05174,1.81306,-1.9781,-1.99599","","","",0.286932,0,1,1,"0.384954,-0.389941,-0.389558,0.390325,0.144046,0.144046,-0.143662,-0.148266,1.76481,1.76442,-1.76672,-1.75982","-0.144352,-0.0597534,-0.0597534,0.0476685,-0.134953,0.140324,0.101379,-0.114807,0.0248413,0.0906372,-0.0315552,-0.0181274","-0.650843,0.808559,0.778988,-0.857847,-0.624384,-0.589624,0.555901,0.748379,0.0858631,0.0791187,-0.0101166,-0.328665"
9,0.180644,20.0634,0.806276,10,1,0,"-0.00745685,-0,-0.00319579,-7.05943e-05,-0.00535368,-0.999986,0,0,0,0.0149544,-0.0199412,-0.0195578,0.0203246,0.0140458,0.0140458,-0.0136625,-0.0178825,-0.00109827,-0.00178878,0.000177777,0.00431971,-0.0745239,-0.0476685,-0.00872803,-0.0275269,0.137638,0.0328979,-0.0476685,0.108093,-0.00443027,-0.0366504,0.0914269,0.00120825,-0.146747,-0.0571026,-0.0187302,-0.0761536,-0.351386,-0.061661,-0.0210249,0.241525,0.683186,0.11048,-0.506493,-0.549417","-0.151016,-0.0573962,-0.00692932,-0.0540821,-0.379482,-0.065455,0.00176515,0.246239,0.704193,0.140046,-0.587605,-0.572521","0.332246,-0.384349,-0.371732,0.356479,0.0351296,0.113636,-0.129559,-0.0684403,2.06049,1.82538,-2.0119,-2.00562","0.332246,-0.384349,-0.371732,0.356479,0.0351296,0.113636,-0.129559,-0.0684403,2.06049,1.82538,-2.0119,-2.00562","","","",0.295303,0,1,1,"0.384954,-0.389941,-0.389558,0.390325,0.144046,0.144046,-0.143662,-0.147882,1.76519,1.76404,-1.76672,-1.75982","-0.0745239,-0.0476685,-0.00872803,-0.0275269,0.137638,0.0328979,-0.0476685,0.108093,-0.00738525,-0.0610962,0.152409,0.00201416","-0.656031,0.816343,0.791958,-0.870817,-0.618158,-0.618677,0.569391,0.748379,0.0547333,0.0246429,-0.0178986,-0.303242"
