tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
0,3.2e-07,0.00032,1.00128,10,1,0,"0,-0,0,0.000694795,-0.00280712,-0.999996,0,0,0,0.0897588,-0.0840043,-0.084772,0.0755652,0.052024,0.0692865,-0.0539418,-0.0639154,-0.00132825,-0.00547018,0.00109827,0.000407757,0.0355835,0.0597534,-0.0906372,0.153751,0.000671387,-0.0127563,-0.0355835,0.161808,-0.058399,-0.0511494,-0.0108743,0.0390669,0,0,0,0,0,0,0,0,0,0,0,0","-0.21841,0.0270773,-0.00917334,-0.136104,-0.19541,0.0088106,-0.159226,0.254543,0.758171,0.203899,-0.575624,-0.605149","0.315398,-0.363231,-0.372293,0.335974,0.0811475,0.132203,-0.169806,-0.0663642,2.08299,1.85199,-2.00691,-2.01922","0.315398,-0.363231,-0.372293,0.335974,0.0811475,0.132203,-0.169806,-0.0663642,2.08299,1.85199,-2.00691,-2.01922","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454004,-0.454772,0.445565,0.182024,0.199286,-0.183942,-0.193915,1.76481,1.7579,-1.76519,-1.76634","0.0355835,0.0597534,-0.0906372,0.153751,0.000671387,-0.0127563,0.0879517,0.161808,-0.0973511,-0.0852661,-0.0181274,0.211491","-0.941376,0.884825,0.866148,-0.809078,-0.549156,-0.742153,0.566797,0.672632,0.0018158,0.101427,-0.0448761,0.000259399"
1,0.0200796,20.0793,0.798844,10,1,0,"0,-0,0,0.000637883,-0.00282917,-0.999996,0,0,0,0.0897588,-0.0840043,-0.084772,0.0751809,0.052024,0.0692865,-0.0539418,-0.0642997,-0.00132825,-0.0052402,0.00109827,0.000407757,-0.134953,-0.0986938,0.0516968,-0.00738525,-0.0154419,0.0476685,0.0704956,0.147038,-0.0720925,0.0688705,-0.0213458,0.0205403,-0.21841,0.0270773,-0.00917334,-0.136104,-0.19541,0.0088106,-0.159226,0.254543,0.758171,0.203899,-0.575624,-0.605149","-0.169222,-0.00315588,-0.0259356,-0.130257,-0.27467,-0.041184,-0.167976,0.233413,0.742359,0.159049,-0.484335,-0.543366","0.327695,-0.370789,-0.376484,0.337436,0.0613325,0.119704,-0.171994,-0.0716467,2.0764,1.8333,-1.96887,-1.99347","0.327695,-0.370789,-0.376484,0.337436,0.0613325,0.119704,-0.171994,-0.0716467,2.0764,1.8333,-1.96887,-1.99347","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454004,-0.454772,0.445181,0.182024,0.199286,-0.184325,-0.1943,1.76481,1.75828,-1.76519,-1.76634","-0.134953,-0.0986938,0.0516968,-0.00738525,-0.0154419,0.0476685,-0.0342407,0.147038,-0.120178,0.114807,-0.0355835,-0.0449829","-0.94812,0.909208,0.888456,-0.812712,-0.561089,-0.744228,0.562647,0.658106,0.0422821,0.0941639,-0.0018158,-0.00752258"
2,0.0401497,20.0701,0.81558,10,1,0,"0,-0,0,0.000615664,-0.00277223,-0.999996,0,0,0,0.0897588,-0.0840043,-0.084772,0.0751809,0.052024,0.0692865,-0.0543252,-0.0642997,-0.00132825,-0.0052402,0.00109827,0.000407757,-0.0772095,0.0879517,0.062439,0.126896,-0.0678101,-0.0812378,0.0825806,0.0463257,0.0422889,0.0318174,-0.00765228,-0.0438999,-0.169222,-0.00315588,-0.0259356,-0.130257,-0.27467,-0.041184,-0.167976,0.233413,0.742359,0.159049,-0.484335,-0.543366","-0.157004,-0.0357379,-0.0259478,-0.12955,-0.26105,-0.0179499,-0.15765,0.213561,0.704677,0.131894,-0.459218,-0.547983","0.330749,-0.378934,-0.376487,0.337612,0.0647375,0.125513,-0.169413,-0.0766097,2.06069,1.82199,-1.9584,-1.99539","0.330749,-0.378934,-0.376487,0.337612,0.0647375,0.125513,-0.169413,-0.0766097,2.06069,1.82199,-1.9584,-1.99539","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454004,-0.454772,0.445181,0.182024,0.199286,-0.183942,-0.1943,1.76481,1.75828,-1.76519,-1.76634","-0.0772095,0.0879517,0.062439,0.126896,-0.0678101,-0.0812378,0.0328979,0.0463257,0.0704956,0.0530396,-0.0127563,0.0181274","-0.957977,0.854216,0.881193,-0.808041,-0.560051,-0.725552,0.557976,0.716732,0.00544739,0.0941639,-0.0199738,-0.0158234"
3,0.0602158,20.0661,0.806108,10,1,0,"0,-0,0,0.000672393,-0.00275025,-0.999996,0,0,0,0.0897588,-0.0840043,-0.084772,0.0755652,0.052024,0.0692865,-0.0539418,-0.0642997,-0.00132825,-0.00547018,0.00109827,0.000407757,-0.132267,0.0825806,-0.0140991,-0.0181274,0.0194702,-0.120178,-0.0167847,0.0409546,-0.0140963,-0.00120825,-0.0704815,0.072898,-0.157004,-0.0357379,-0.0259478,-0.12955,-0.26105,-0.0179499,-0.15765,0.213561,0.704677,0.131894,-0.459218,-0.547983","-0.163826,-0.0401667,-0.0103492,-0.123516,-0.361552,-0.0352169,-0.0963124,0.242641,0.697873,0.127364,-0.473789,-0.521989","0.329044,-0.380042,-0.372587,0.339121,0.0396121,0.121196,-0.154078,-0.0693398,2.05786,1.8201,-1.96447,-1.98456","0.329044,-0.380042,-0.372587,0.339121,0.0396121,0.121196,-0.154078,-0.0693398,2.05786,1.8201,-1.96447,-1.98456","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454004,-0.454772,0.445565,0.182024,0.199286,-0.184325,-0.1943,1.76481,1.7579,-1.76519,-1.76634","-0.132267,0.0825806,-0.0140991,-0.0181274,0.0194702,-0.120178,0.0704956,0.0409546,-0.0234985,-0.00201416,-0.117493,-0.00335693","-0.945007,0.86978,0.872892,-0.815825,-0.537743,-0.753048,0.570948,0.661737,0.00648499,0.0853443,-0.00440979,-0.0132294"
4,0.0802866,20.0708,0.807996,10,1,0,"0,-0,0,0.00067221,-0.00275031,-0.999996,0,0,0,0.0897588,-0.0840043,-0.084772,0.0751809,0.052024,0.0692865,-0.0539418,-0.0642997,-0.00132825,-0.00547018,0.00109827,0.000407757,-0.0436401,0.0396118,0.0288696,0.0704956,0.0610962,0.00201416,0.114807,0.038269,0.0149018,-0.0221513,0.000402751,-0.0277899,-0.163826,-0.0401667,-0.0103492,-0.123516,-0.361552,-0.0352169,-0.0963124,0.242641,0.697873,0.127364,-0.473789,-0.521989","-0.178507,-0.0302066,0.0101158,-0.103718,-0.391603,-0.0485024,-0.0539686,0.259286,0.695833,0.138935,-0.536112,-0.513928","0.325373,-0.377552,-0.367471,0.34407,0.0320992,0.117874,-0.143492,-0.0651786,2.05701,1.82492,-1.99044,-1.9812","0.325373,-0.377552,-0.367471,0.34407,0.0320992,0.117874,-0.143492,-0.0651786,2.05701,1.82492,-1.99044,-1.9812","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454004,-0.454772,0.445181,0.182024,0.199286,-0.183942,-0.1943,1.76481,1.7579,-1.76519,-1.76634","-0.0436401,0.0396118,0.0288696,0.0704956,0.0610962,0.00201416,-0.0369263,0.038269,0.0248413,-0.0369263,0.000671387,0.0584106","-0.954346,0.898832,0.859922,-0.800259,-0.561089,-0.722958,0.56576,0.704281,0.0153046,0.0952015,-0.0453949,-0.0204926"
5,0.100352,20.0651,0.779451,10,1,0,"0,-0,0,0.000729039,-0.00272826,-0.999996,0,0,0,0.0897588,-0.0840043,-0.084772,0.0751809,0.052024,0.0692865,-0.0539418,-0.0642997,-0.00132825,-0.0052402,0.00109827,0.000407757,-0.09198,-0.0100708,-0.00872803,-0.222233,0.0154419,-0.00738525,-0.0194702,-0.0704956,-0.0640375,-0.00201376,-0.00362476,0.066454,-0.178507,-0.0302066,0.0101158,-0.103718,-0.391603,-0.0485024,-0.0539686,0.259286,0.695833,0.138935,-0.536112,-0.513928","-0.176623,-0.0201159,0.0331276,-0.0819704,-0.42718,-0.0738498,-0.0364861,0.276097,0.704843,0.181733,-0.589401,-0.539104","0.325844,-0.375029,-0.361718,0.349507,0.0232049,0.111538,-0.139122,-0.0609758,2.06076,1.84276,-2.01265,-1.99169","0.325844,-0.375029,-0.361718,0.349507,0.0232049,0.111538,-0.139122,-0.0609758,2.06076,1.84276,-2.01265,-1.99169","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454004,-0.454772,0.445181,0.182024,0.199286,-0.183942,-0.1943,1.76481,1.75828,-1.76519,-1.76672","-0.09198,-0.0100708,-0.00872803,-0.222233,0.0154419,-0.00738525,0.14838,-0.0704956,-0.10675,-0.00335693,-0.00604248,-0.180607","-0.949677,0.867186,0.88275,-0.771206,-0.566797,-0.751492,0.553825,0.675226,0.0324249,0.0822315,-0.0251617,-0.00907898"
6,0.120419,20.0676,0.841725,10,1,0,"0,-0,0,0.000750978,-0.00278526,-0.999996,0,0,0,0.0897588,-0.0843877,-0.084772,0.0751809,0.052024,0.0692865,-0.0543252,-0.0642997,-0.00132825,-0.0052402,0.00109827,0.000407757,0.0396118,0.0234985,0.0839233,-0.0140991,-0.0167847,0.0328979,0.0194702,0.0194702,0.0197348,0.06001,0.0849828,0.00120825,-0.176623,-0.0201159,0.0331276,-0.0819704,-0.42718,-0.0738498,-0.0364861,0.276097,0.704843,0.181733,-0.589401,-0.539104","-0.189069,-0.00366923,0.0428689,-0.052938,-0.43717,-0.0796682,-0.00681042,0.266359,0.715537,0.221781,-0.667997,-0.567703","0.322733,-0.370917,-0.359283,0.356766,0.0207076,0.110083,-0.131703,-0.0634103,2.06522,1.85945,-2.04541,-2.00361","0.322733,-0.370917,-0.359283,0.356766,0.0207076,0.110083,-0.131703,-0.0634103,2.06522,1.85945,-2.04541,-2.00361","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454772,0.445181,0.182024,0.199286,-0.183942,-0.1943,1.76481,1.75828,-1.76519,-1.76634","0.0396118,0.0234985,0.0839233,-0.0140991,-0.0167847,0.0328979,0.0328979,0.0194702,0.0328979,0.100037,0.141666,0.0396118","-0.931517,0.85214,0.883787,-0.775875,-0.571985,-0.779507,0.560051,0.67367,0.0267181,0.100389,-0.0438385,-0.0189362"
7,0.140486,20.0672,0.816957,10,1,0,"0,-0,0,0.000750802,-0.00278524,-0.999996,0,0,0,0.0897588,-0.0840043,-0.084772,0.0751809,0.052024,0.0692865,-0.0543252,-0.0642997,-0.00132825,-0.0052402,0.00109827,0.000407757,-0.24506,0.0328979,0.0288696,0.00335693,0.128239,0.0785522,-0.202091,-0.109436,-0.072898,-0.0132908,-0.0140963,0.0535659,-0.189069,-0.00366923,0.0428689,-0.052938,-0.43717,-0.0796682,-0.00681042,0.266359,0.715537,0.221781,-0.667997,-0.567703","-0.180478,0.0220898,0.0884011,-0.0327227,-0.514046,-0.128872,0.0576407,0.284913,0.746221,0.290834,-0.781823,-0.574379","0.324881,-0.364478,-0.3479,0.361819,0.00148848,0.0977819,-0.11559,-0.0587718,2.07801,1.88822,-2.09284,-2.00639","0.324881,-0.364478,-0.3479,0.361819,0.00148848,0.0977819,-0.11559,-0.0587718,2.07801,1.88822,-2.09284,-2.00639","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454004,-0.454772,0.445181,0.182024,0.199286,-0.183942,-0.1943,1.76481,1.75828,-1.76519,-1.76634","-0.24506,0.0328979,0.0288696,0.00335693,0.128239,0.0785522,-0.0436401,-0.109436,-0.121521,-0.0221558,-0.0234985,0.0463257","-0.936705,0.880674,0.87393,-0.812191,-0.553825,-0.735409,0.563684,0.663813,0.0106354,0.0884571,-0.0127106,-0.00233459"
8,0.160548,20.0617,0.791195,10,1,0,"0,-0,0,0.000750802,-0.00278524,-0.999996,0,0,0,0.0897588,-0.0843877,-0.084772,0.0751809,0.052024,0.0692865,-0.0539418,-0.0642997,-0.00132825,-0.0052402,0.00109827,0.000177777,0.0704956,-0.0409546,0.0745239,-0.0651245,-0.129581,-0.0302124,0.0140991,0.0436401,0.0165128,-0.105926,0.0253733,-0.0302064,-0.180478,0.0220898,0.0884011,-0.0327227,-0.514046,-0.128872,0.0576407,0.284913,0.746221,0.290834,-0.781823,-0.574379","-0.187691,0.0648819,0.106661,-0.0143069,-0.469342,-0.132459,0.0499374,0.270023,0.782402,0.349843,-0.870293,-0.598101","0.323077,-0.35378,-0.343335,0.366423,0.0126645,0.0968853,-0.117516,-0.0624943,2.09309,1.91282,-2.12971,-2.01628","0.323077,-0.35378,-0.343335,0.366423,0.0126645,0.0968853,-0.117516,-0.0624943,2.09309,1.91282,-2.12971,-2.01628","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454772,0.445181,0.182024,0.199286,-0.184325,-0.1943,1.76481,1.75828,-1.76519,-1.76634","0.0704956,-0.0409546,0.0745239,-0.0651245,-0.129581,-0.0302124,-0.117493,0.0436401,0.0275269,-0.176579,0.0422974,-0.0154419","-0.935148,0.851103,0.890013,-0.801815,-0.510246,-0.768093,0.550194,0.660181,0.00959778,0.0874195,-0.0101166,-0.0127106"
9,0.180619,20.0703,0.80726,10,1,0,"0,-0,0,0.000693886,-0.00280727,-0.999996,0,0,0,0.0897588,-0.0840043,-0.084772,0.0751809,0.052024,0.0692865,-0.0539418,-0.0642997,-0.00132825,-0.0052402,0.00109827,0.000407757,-0.0328979,0.101379,-0.0275269,0.124207,0.10675,0.0772095,0.0167847,-0.0570679,-0.111564,0.0382614,-0.061621,0.0285954,-0.187691,0.0648819,0.106661,-0.0143069,-0.469342,-0.132459,0.0499374,0.270023,0.782402,0.349843,-0.870293,-0.598101","-0.190419,0.0709798,0.157438,0.00017634,-0.518986,-0.16438,0.102205,0.288083,0.830349,0.404549,-0.961398,-0.616388","0.322395,-0.352255,-0.33064,0.370044,0.000253558,0.088905,-0.104449,-0.0579792,2.11307,1.93562,-2.16768,-2.0239","0.322395,-0.352255,-0.33064,0.370044,0.000253558,0.088905,-0.104449,-0.0579792,2.11307,1.93562,-2.16768,-2.0239","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454004,-0.454772,0.445181,0.182024,0.199286,-0.184325,-0.1943,1.76481,1.75828,-1.76519,-1.76634","-0.0328979,0.101379,-0.0275269,0.124207,0.10675,0.0772095,-0.0866089,-0.0570679,-0.185978,0.0637817,-0.102722,0.0409546","-0.936186,0.870817,0.878599,-0.816343,-0.553825,-0.745785,0.581324,0.665888,0.0345001,0.0770435,-0.0158234,-0.00856018"
