tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
10,0.200629,20.0614,0,10,1,0,"0,-0,0,-0.000721626,-0.00207886,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00224874,0.00109827,0.000407757,-0.0248413,-0.00335693,0.0275269,-0.0315552,-0.062439,-0.0275269,-0.0140991,-0.0369263,-0.000402751,-0.0994819,-0.0108743,0.00120825,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76327,-1.76519,-1.76634","-0.0248413,-0.00335693,0.0275269,-0.0315552,-0.062439,-0.0275269,-0.0140991,-0.0369263,-0.000671387,-0.165836,-0.0181274,0.00201416","-0.948639,0.918028,0.891569,-0.92996,-0.566278,-0.603632,0.554344,0.574579,-0.001297,0.0189362,-0.0355377,-0.0127106"
11,0.220691,20.062,0,10,1,0,"0,-0,0,-0.000721682,-0.00207882,-0.999998,0,0,0,0.0901421,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00132825,-0.00224874,0.00109827,0.000407757,0.0584106,0.0637817,-0.0825806,0.0664673,0.0557251,-0.0342407,-0.038269,-0.0342407,-0.0100688,0.0954544,-0.0946489,-0.00845778,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.460142,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76481,1.76327,-1.76519,-1.76634","0.0584106,0.0637817,-0.0825806,0.0664673,0.0557251,-0.0342407,-0.038269,-0.0342407,-0.0167847,0.159122,-0.15778,-0.0140991","-0.940338,0.87393,0.876524,-0.926847,-0.56991,-0.615564,0.562647,0.581324,0.014267,0.0407257,-0.0163422,-0.0132294"
12,0.240759,20.0682,0,10,1,0,"0,-0,0,-0.000721775,-0.00207884,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0843877,0.0874566,0.0543252,0.0577775,-0.0531751,-0.0554763,-0.00109827,-0.00201876,0.00109827,0.000177777,-0.232975,-0.038269,-0.0248413,-0.144352,-0.0315552,0.0154419,-0.0597534,0.0745239,-0.00845778,0.0205403,-0.00926328,0.0149018,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454388,0.457457,0.184325,0.187778,-0.183175,-0.185476,1.76519,1.76365,-1.76519,-1.76672","-0.232975,-0.038269,-0.0248413,-0.144352,-0.0315552,0.0154419,-0.0597534,0.0745239,-0.0140991,0.0342407,-0.0154419,0.0248413","-0.97406,0.869261,0.884306,-0.915434,-0.570948,-0.640467,0.553825,0.579248,0.0241241,0.0334625,-0.0329437,0.001297"
13,0.260822,20.0633,0,10,1,0,"0,-0,0,-0.000678077,-0.0020044,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00224874,0.00109827,0.000177777,-0.0610962,-0.0476685,0.11615,0.0946655,-0.0584106,-0.149723,-0.0369263,-0.00201416,-0.0157073,0.0382614,-0.0165128,0.058399,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76327,-1.76519,-1.76672","-0.0610962,-0.0476685,0.11615,0.0946655,-0.0584106,-0.149723,-0.0369263,-0.00201416,-0.0261841,0.0637817,-0.0275269,0.0973511","-0.92581,0.870817,0.881712,-0.911802,-0.56057,-0.628534,0.578211,0.57873,0.0723743,0.0365753,-0.019455,0.000778198"
14,0.280884,20.0619,0,10,1,0,"0,-0,0,-0.000737209,-0.00201969,-0.999998,0,0,0,0.0901421,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00224874,0.000867718,0.000177777,0.153751,-0.0543823,0.0275269,0.0221558,-0.128239,0.0516968,-0.122864,0.121521,0.000402751,-0.0873994,-0.0277899,0.0237623,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.460142,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76327,-1.76557,-1.76672","0.153751,-0.0543823,0.0275269,0.0221558,-0.128239,0.0516968,-0.122864,0.121521,0.000671387,-0.145695,-0.0463257,0.0396118","-0.946045,0.883268,0.867704,-0.920103,-0.571985,-0.610376,0.557457,0.576654,0.0189362,0.0350189,0.000259399,-0.016861"
15,0.300946,20.0618,0,10,1,0,"0,-0,0,-0.000737263,-0.00201965,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00201876,0.00109827,0.000407757,-0.0852661,-0.00201416,-0.00604248,0.0355835,-0.108093,-0.0463257,-0.0449829,0.050354,-0.0245678,-0.0294009,0.0390669,0.0390669,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76365,-1.76519,-1.76634","-0.0852661,-0.00201416,-0.00604248,0.0355835,-0.108093,-0.0463257,-0.0449829,0.050354,-0.0409546,-0.0490112,0.0651245,0.0651245","-0.965759,0.884306,0.872374,-0.913359,-0.571466,-0.613489,0.555382,0.576136,-0.0459137,0.0277557,-0.00959778,-0.022049"
16,0.32101,20.0637,0,10,1,0,"0,-0,0,-0.000737263,-0.00201965,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0870732,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00224874,0.00109827,0.000407757,0.062439,-0.0422974,-0.100037,-0.09198,0.0463257,0.0651245,-0.0892944,-0.0812378,0.0165128,-0.0245678,0.0269843,0.0503439,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457073,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76327,-1.76519,-1.76634","0.062439,-0.0422974,-0.100037,-0.09198,0.0463257,0.0651245,-0.0275269,-0.0812378,0.0275269,-0.0409546,0.0449829,0.0839233","-0.945526,0.898832,0.84384,-0.915953,-0.589106,-0.605188,0.561089,0.573023,0.0370941,0.0345001,-0.0256805,0.016861"
17,0.341085,20.0755,0,10,1,0,"0,-0,0,-0.000737354,-0.00201967,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00224874,0.00109827,0.000407757,0.156437,0.0275269,0.00604248,0.136295,-0.0302124,0.0933228,-0.0355835,0.00469971,-0.0688705,-0.0181238,-0.0181238,0.00120825,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76327,-1.76519,-1.76634","0.156437,0.0275269,0.00604248,0.136295,-0.0302124,0.0933228,-0.0355835,0.00469971,-0.114807,-0.0302124,-0.0302124,0.00201416","-0.938263,0.897276,0.871336,-0.906096,-0.576136,-0.607782,0.559013,0.590662,0.00492859,0.0282745,-0.0132294,-0.0163422"
18,0.361187,20.1021,0,10,1,0,"0,-0,0,-0.000737408,-0.00201963,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0843877,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00201876,0.000867718,0.000407757,0.0933228,-0.0328979,-0.100037,0.0154419,0.0194702,0.00738525,0.0140991,0.0530396,0.0914269,0.0245678,0.071287,0.0624265,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454388,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76365,-1.76557,-1.76634","0.219547,-0.0328979,-0.100037,0.0154419,0.0194702,0.00738525,0.0140991,0.0530396,0.152409,0.0409546,0.118835,0.104065","-0.923735,0.885344,0.870298,-0.922697,-0.568872,-0.612452,0.550713,0.577692,-0.0132294,0.0178986,0.00389099,-0.0127106"
19,0.381252,20.0653,0,10,1,0,"0,-0,0,-0.000737408,-0.00201963,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0843877,0.0874566,0.0543252,0.0577775,-0.0531751,-0.0554763,-0.00109827,-0.00224874,0.00109827,0.000177777,0.062439,-0.0127563,0.0463257,-0.00335693,-0.000671387,-0.132267,-0.0154419,0.0570679,-0.00845778,0.0197348,-0.00926328,-0.0277899,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454388,0.457457,0.184325,0.187778,-0.183175,-0.185476,1.76519,1.76327,-1.76519,-1.76672","0.062439,-0.0127563,0.0463257,-0.00335693,-0.000671387,-0.132267,-0.0154419,0.0570679,-0.0140991,0.0328979,-0.0154419,-0.0463257","-0.940338,0.870817,0.894163,-0.923216,-0.581324,-0.577173,0.570429,0.581324,0.0111542,0.0448761,-0.0189362,-0.011673"
