tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
0,2.88e-07,0.000288,0,10,1,0,"0,0.00106526,0,0.00269467,-0.00071862,-0.999996,0,0,0,0.0168723,-0.021859,-0.0210923,0.0199412,0.0125114,0.0174981,-0.0125114,-0.0182658,0.000282756,-0.00086829,0.000637738,0.0036292,0.122864,0.0275269,0.0140991,0.0852661,-0.0355835,-0.0422974,0.062439,0.0315552,0.0197348,0.0495384,-0.0986764,-0.000402751,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.386872,-0.391859,-0.391092,0.389941,0.142511,0.147498,-0.142511,-0.148266,1.76749,1.76557,-1.76596,-1.76097","0.122864,0.0275269,0.0140991,0.0852661,-0.0355835,-0.0422974,0.062439,0.0315552,0.0328979,0.0825806,-0.164494,-0.000671387","-0.712063,0.897276,0.91284,-0.862516,-0.549156,-0.759792,0.502983,0.766018,-0.0215302,0.0313873,-0.0619965,-0.272114"
1,0.0200713,20.071,0,10,1,0,"0,-0,0,0.00276381,-0.000770323,-0.999996,0,0,0,0.0168723,-0.021859,-0.0210923,0.0203246,0.0128947,0.0174981,-0.0125114,-0.0182658,5.22032e-05,-0.00086829,0.000637738,0.0036292,-0.000671387,-0.0221558,0.0584106,-0.0248413,0.0449829,0.00335693,0.0234985,0.0409546,0.0165128,-0.00604127,-0.0157073,-0.066454,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.386872,-0.391859,-0.391092,0.390325,0.142895,0.147498,-0.142511,-0.148266,1.76711,1.76557,-1.76596,-1.76097","-0.000671387,-0.0221558,0.0584106,-0.0248413,0.0449829,0.00335693,0.0234985,0.0409546,0.0275269,-0.0100708,-0.0261841,-0.110779","-0.714657,0.888456,0.872374,-0.867186,-0.561607,-0.763943,0.510246,0.744747,-0.0526581,0.0236053,-0.0557709,-0.246174"
2,0.0401521,20.0808,0,10,1,0,"0,-0,0,0.00296255,-0.0008648,-0.999995,0,0,0,0.0168723,-0.021859,-0.0210923,0.0203246,0.0128947,0.0174981,-0.0125114,-0.0182658,5.22032e-05,-0.00086829,0.000637738,0.0036292,0.0758667,0.0248413,0.0302124,0.0154419,-0.079895,-0.239689,-0.10675,0.0288696,-0.0535659,0.0318174,-0.0302064,-0.0342339,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.386872,-0.391859,-0.391092,0.390325,0.142895,0.147498,-0.142511,-0.148266,1.76711,1.76557,-1.76596,-1.76097","0.0758667,0.0248413,0.0302124,0.0154419,-0.079895,-0.239689,-0.10675,0.0288696,-0.0892944,0.0530396,-0.050354,-0.0570679","-0.723476,0.874968,0.859404,-0.849028,-0.555901,-0.794552,0.506615,0.741634,-0.00544739,0.0500641,-0.0422821,-0.288197"
3,0.0602185,20.0665,0,10,1,0,"-0.00106526,-0,0,0.00310089,-0.00096805,-0.999995,0,0,0,0.0168723,-0.021859,-0.0210923,0.0199412,0.0128947,0.0174981,-0.0125114,-0.0182658,0.000282756,-0.00086829,0.000637738,0.00385918,-0.0651245,0.0154419,-0.0986938,-0.0745239,0.159122,0.164494,-0.0986938,-0.0691528,0.00926328,0.0165128,-0.0213458,0.0471219,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.386872,-0.391859,-0.391092,0.389941,0.142895,0.147498,-0.142511,-0.148266,1.76749,1.76557,-1.76596,-1.76059","-0.0651245,0.0154419,-0.0986938,-0.0745239,0.159122,0.164494,-0.0986938,-0.0691528,0.0154419,0.0275269,-0.0355835,0.0785522","-0.727627,0.888456,0.863035,-0.862516,-0.561607,-0.741634,0.537224,0.731777,-0.0422821,0.0428009,-0.0619965,-0.286121"
4,0.0802836,20.065,0,10,1,0,"0,-0,0,0.00310089,-0.00096805,-0.999995,0,0,0,0.0168723,-0.0214757,-0.0210923,0.0199412,0.0125114,0.0174981,-0.0125114,-0.0182658,5.22032e-05,-0.00086829,0.000637738,0.00385918,-0.0651245,0.0610962,0.0543823,-0.124207,-0.0409546,-0.105408,0.062439,-0.038269,0.00120825,-0.0157073,-0.0197348,0.0116798,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.386872,-0.391476,-0.391092,0.389941,0.142511,0.147498,-0.142511,-0.148266,1.76711,1.76557,-1.76596,-1.76059","-0.0651245,0.0610962,0.0543823,-0.124207,-0.0409546,-0.105408,0.062439,-0.038269,0.00201416,-0.0261841,-0.0328979,0.0194702","-0.72192,0.89105,0.863035,-0.86096,-0.549675,-0.77795,0.503502,0.731777,-0.0490265,0.0521393,-0.0547333,-0.281971"
5,0.100357,20.0737,0,10,1,0,"0,-0,0,0.00303164,-0.0009166,-0.999995,0,0,0,0.0168723,-0.0214757,-0.0210923,0.0199412,0.0128947,0.0174981,-0.0125114,-0.0182658,0.000282756,-0.00086829,0.000637738,0.00385918,0.00872803,0.0637817,-0.0597534,-0.145695,0.0570679,0.0557251,0.0409546,0.0422974,0.0197348,-0.0326229,0.0310119,0.0720925,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.386872,-0.391476,-0.391092,0.389941,0.142895,0.147498,-0.142511,-0.148266,1.76749,1.76557,-1.76596,-1.76059","0.00872803,0.0637817,-0.0597534,-0.145695,0.0570679,0.0557251,0.0409546,0.0422974,0.0328979,-0.0543823,0.0516968,0.120178","-0.710506,0.859404,0.850065,-0.854216,-0.535667,-0.782101,0.481194,0.752529,-0.0178986,0.0619965,-0.0734119,-0.26952"
6,0.120421,20.064,0,10,1,0,"0,-0,0,0.00283291,-0.000822313,-0.999996,0,0,0,0.0168723,-0.021859,-0.0210923,0.0203246,0.0125114,0.0174981,-0.0125114,-0.0182658,5.22032e-05,-0.00086829,0.000637738,0.00385918,-0.0194702,-0.0234985,0.0866089,-0.0745239,-0.104065,-0.0651245,-0.121521,0.104065,-0.0720925,0.064843,-0.056788,0.0962599,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.386872,-0.391859,-0.391092,0.390325,0.142511,0.147498,-0.142511,-0.148266,1.76711,1.76557,-1.76596,-1.76059","-0.0194702,-0.0234985,0.0866089,-0.0745239,-0.104065,-0.0651245,-0.121521,0.104065,-0.120178,0.108093,-0.0946655,0.160465","-0.712582,0.870298,0.858885,-0.858885,-0.542412,-0.744747,0.547081,0.760311,-0.0293121,0.0666676,-0.0568085,-0.295979"
7,0.140484,20.0626,0,10,1,0,"0,-0,0,0.00276368,-0.000770839,-0.999996,0,0,0,0.0168723,-0.021859,-0.0210923,0.0203246,0.0125114,0.0174981,-0.0125114,-0.0182658,0.000282756,-0.00086829,0.000867718,0.0036292,-0.0369263,-0.105408,0.105408,-0.000671387,0.0557251,0.0449829,-0.00872803,-0.0731812,-0.0527604,0.131702,0.00765228,0.0438999,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.386872,-0.391859,-0.391092,0.390325,0.142511,0.147498,-0.142511,-0.148266,1.76749,1.76557,-1.76557,-1.76097","-0.0369263,-0.105408,0.105408,-0.000671387,0.0557251,0.0449829,-0.00872803,-0.0731812,-0.0879517,0.219547,0.0127563,0.0731812","-0.711025,0.895201,0.859922,-0.861479,-0.509727,-0.661737,0.53463,0.766537,-0.0256805,0.0490265,-0.0666676,-0.325033"
8,0.160547,20.0627,0,10,1,0,"0,-0.00106526,0,0.00289316,-0.000813883,-0.999995,0,0,0,0.0168723,-0.021859,-0.0210923,0.0199412,0.0125114,0.0174981,-0.0125114,-0.0182658,5.22032e-05,-0.00086829,0.000637738,0.00385918,-0.0436401,0.0785522,0.0194702,0.000671387,-0.050354,0.0610962,-0.124207,-0.0315552,-0.0890104,0.0149018,-0.0108743,-0.00684677,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.386872,-0.391859,-0.391092,0.389941,0.142511,0.147498,-0.142511,-0.148266,1.76711,1.76557,-1.76596,-1.76059","-0.0436401,0.0785522,0.0194702,0.000671387,-0.050354,0.0610962,-0.124207,-0.0315552,-0.14838,0.0248413,-0.0181274,-0.0114136","-0.737484,0.890013,0.869261,-0.849028,-0.562647,-0.739559,0.484306,0.736446,-0.0396881,0.0645924,-0.0635548,-0.279896"
9,0.180618,20.0712,0,10,1,0,"0,-0,0,0.00303144,-0.000917254,-0.999995,0,0,0,0.0168723,-0.0214757,-0.0210923,0.0203246,0.0128947,0.0174981,-0.0125114,-0.0182658,0.000282756,-0.00086829,0.000637738,0.00385918,-0.0463257,0.062439,0.0248413,0.00872803,0.0745239,0.0892944,-0.0409546,0.0302124,0.0124853,0.0414834,-0.0221513,-0.0310119,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.386872,-0.391476,-0.391092,0.390325,0.142895,0.147498,-0.142511,-0.148266,1.76749,1.76557,-1.76596,-1.76059","-0.0463257,0.062439,0.0248413,0.00872803,0.0745239,0.0892944,-0.0409546,0.0302124,0.020813,0.0691528,-0.0369263,-0.0516968","-0.714657,0.872374,0.861479,-0.855772,-0.526329,-0.763943,0.477562,0.740078,-0.0443573,0.0329437,-0.0521393,-0.289753"
